"idNFT","urlNFT","imageNFT","nameNFT","salesNFT","volumnNFT","changeNFT","floorPriceNFT"
"4","https://opensea.io/collection/raw-pass","https://i.seadn.io/s/raw/files/e6249eb3ab5375845e4e69b34d76e9b2.png?auto=format&dpr=1&w=3840","Balthazar raW Pass","635","109 ETH","+96%","0.16 ETH"
"8","https://opensea.io/collection/sugartownoras","https://i.seadn.io/s/raw/files/045932f79c3036c05c3899651dd39a1c.png?auto=format&dpr=1&w=3840","Sugartown Oras by Zynga","198","88 ETH","+45%","0.47 ETH"
"10","https://opensea.io/collection/degods","https://i.seadn.io/gcs/files/c6cb0b1d6f2ab61c0efacf00e62e2230.jpg?auto=format&dpr=1&w=3840","DeGods","194","511 ETH","-18%","2.70 ETH"
"11","https://opensea.io/collection/work-x-genesis-nft","https://i.seadn.io/s/raw/files/4ed276bd9b812277e90f531570a56a83.png?auto=format&dpr=1&w=3840","Work X Genesis NFT","187","14 ETH","+379%","0.09 ETH"
"12","https://opensea.io/collection/skyborne-genesisimmortals","https://i.seadn.io/gcs/files/65b163eaee2f95a2c25bfbd9f2c898ca.gif?auto=format&dpr=1&w=3840","Skyborne - Genesis Immortals","184","19 ETH","+271%","0.12 ETH"
"9","https://opensea.io/collection/mutant-ape-yacht-club","https://i.seadn.io/gae/lHexKRMpw-aoSyB1WdFBff5yfANLReFxHzt1DOj_sg7mS14yARpuvYcUtsyyx-Nkpk6WTcUPFoG53VnLJezYi8hAs0OxNZwlw6Y-dmI?auto=format&dpr=1&w=3840","Mutant Ape Yacht Club","197","1,021 ETH","+3%","5.19 ETH"
"6","https://opensea.io/collection/azuki","https://i.seadn.io/gae/H8jOCJuQokNqGBpkBN5wk1oZwO7LM8bNnrHCaekV2nKjnCqw6UB5oaH8XyNeBDj6bA_n1mjejzhFQUP3O1NfjFLHr3FOaeHcTOOT?auto=format&dpr=1&w=3840","Azuki","256","1,440 ETH","+109%","5.90 ETH"
"7","https://opensea.io/collection/w-rabbit","https://i.seadn.io/s/raw/files/db9fed8cca881d54c9edb49320b67910.png?auto=format&dpr=1&w=3840","THE WHITE RABBIT","245","15 ETH","+35%","0.02 ETH"
"5","https://opensea.io/collection/poglin","https://i.seadn.io/s/raw/files/9b975bb19f1cef0837efcff36f62c413.png?auto=format&dpr=1&w=3840","Poglin: Nycra","618","119 ETH","+76%","0.18 ETH"
"2","https://opensea.io/collection/thewarlords","https://i.seadn.io/s/raw/files/0a2b295953f56df5a3c628e77af984b9.png?auto=format&dpr=1&w=3840","The Warlords of Champions Tactics","4,118","1,091 ETH","+171%","0.21 ETH"
"3","https://opensea.io/collection/animalia-tundra-titans","https://i.seadn.io/s/raw/files/1f68182e39e8a4fee60badb81f4aa4dc.jpg?auto=format&dpr=1&w=3840","Animalia Tundra Titans","760","63 ETH","-16%","0.09 ETH"
"1","https://opensea.io/collection/the-beacon-arbi","https://i.seadn.io/gae/DP5IVh0Rp45Mvf5z9lMgKozeARbSUe6GrvR2moXHScbxDUlr-elrn4yDIP7NPyOf9B6F9SyJsJLkpTEN1neNrByaC02LxI_o2ZBc7jM?auto=format&dpr=1&w=3840","The Beacon","17K","21 ETH","+675%","< 0.01 ETH"
"8","https://opensea.io/collection/sugartownoras","https://i.seadn.io/s/raw/files/045932f79c3036c05c3899651dd39a1c.png?auto=format&dpr=1&w=3840","Sugartown Oras by Zynga","198","88 ETH","+45%","0.47 ETH"
"12","https://opensea.io/collection/skyborne-genesisimmortals","https://i.seadn.io/gcs/files/65b163eaee2f95a2c25bfbd9f2c898ca.gif?auto=format&dpr=1&w=3840","Skyborne - Genesis Immortals","184","19 ETH","+271%","0.12 ETH"
"14","https://opensea.io/collection/overworld-incarna","https://i.seadn.io/s/raw/files/379cdb1ea0a7ee68498d81c3a46b6790.jpg?auto=format&dpr=1&w=3840","OVERWORLD INCARNA","167","394 ETH","+20%","2.78 ETH"
"16","https://opensea.io/collection/parallelplanetfall","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Parallel Planetfall","142","11 ETH","-61%","< 0.01 ETH"
"18","https://opensea.io/collection/y00ts","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","y00ts","121","62 ETH","+40%","0.57 ETH"
"19","https://opensea.io/collection/skyborne-nexiangems","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Skyborne - Nexian Gems","118","92 ETH","-59%","0.93 ETH"
"17","https://opensea.io/collection/blockgames-dice-5555","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","BlockGames Dice","136","62 ETH","+36%","0.43 ETH"
"15","https://opensea.io/collection/grayboys","https://i.seadn.io/gcs/files/119617e98d304a4f237cfc8f0eab36f0.png?auto=format&dpr=1&w=3840","Gray Boys","145","11 ETH","+993%","0.12 ETH"
"13","https://opensea.io/collection/kokodinft","https://i.seadn.io/gcs/files/3e51f5f71cc5a91fc57655dade362f36.png?auto=format&dpr=1&w=3840","KOKODI","182","18 ETH","-60%","0.09 ETH"
"10","https://opensea.io/collection/degods","https://i.seadn.io/gcs/files/c6cb0b1d6f2ab61c0efacf00e62e2230.jpg?auto=format&dpr=1&w=3840","DeGods","194","511 ETH","-18%","2.70 ETH"
"11","https://opensea.io/collection/work-x-genesis-nft","https://i.seadn.io/s/raw/files/4ed276bd9b812277e90f531570a56a83.png?auto=format&dpr=1&w=3840","Work X Genesis NFT","187","14 ETH","+379%","0.09 ETH"
"9","https://opensea.io/collection/mutant-ape-yacht-club","https://i.seadn.io/gae/lHexKRMpw-aoSyB1WdFBff5yfANLReFxHzt1DOj_sg7mS14yARpuvYcUtsyyx-Nkpk6WTcUPFoG53VnLJezYi8hAs0OxNZwlw6Y-dmI?auto=format&dpr=1&w=3840","Mutant Ape Yacht Club","197","1,021 ETH","+3%","5.19 ETH"
"4","https://opensea.io/collection/raw-pass","https://i.seadn.io/s/raw/files/e6249eb3ab5375845e4e69b34d76e9b2.png?auto=format&dpr=1&w=3840","Balthazar raW Pass","635","109 ETH","+96%","0.16 ETH"
"6","https://opensea.io/collection/azuki","https://i.seadn.io/gae/H8jOCJuQokNqGBpkBN5wk1oZwO7LM8bNnrHCaekV2nKjnCqw6UB5oaH8XyNeBDj6bA_n1mjejzhFQUP3O1NfjFLHr3FOaeHcTOOT?auto=format&dpr=1&w=3840","Azuki","256","1,440 ETH","+109%","5.90 ETH"
"7","https://opensea.io/collection/w-rabbit","https://i.seadn.io/s/raw/files/db9fed8cca881d54c9edb49320b67910.png?auto=format&dpr=1&w=3840","THE WHITE RABBIT","245","15 ETH","+35%","0.02 ETH"
"5","https://opensea.io/collection/poglin","https://i.seadn.io/s/raw/files/9b975bb19f1cef0837efcff36f62c413.png?auto=format&dpr=1&w=3840","Poglin: Nycra","618","119 ETH","+76%","0.18 ETH"
"2","https://opensea.io/collection/thewarlords","https://i.seadn.io/s/raw/files/0a2b295953f56df5a3c628e77af984b9.png?auto=format&dpr=1&w=3840","The Warlords of Champions Tactics","4,118","1,091 ETH","+171%","0.21 ETH"
"3","https://opensea.io/collection/animalia-tundra-titans","https://i.seadn.io/s/raw/files/1f68182e39e8a4fee60badb81f4aa4dc.jpg?auto=format&dpr=1&w=3840","Animalia Tundra Titans","760","63 ETH","-16%","0.09 ETH"
"1","https://opensea.io/collection/the-beacon-arbi","https://i.seadn.io/gae/DP5IVh0Rp45Mvf5z9lMgKozeARbSUe6GrvR2moXHScbxDUlr-elrn4yDIP7NPyOf9B6F9SyJsJLkpTEN1neNrByaC02LxI_o2ZBc7jM?auto=format&dpr=1&w=3840","The Beacon","17K","21 ETH","+675%","< 0.01 ETH"
"16","https://opensea.io/collection/parallelplanetfall","https://i.seadn.io/s/raw/files/4fce98acde508d20a97a6e3baae442d0.png?auto=format&dpr=1&w=3840","Parallel Planetfall","142","11 ETH","-61%","< 0.01 ETH"
"20","https://opensea.io/collection/vendetta-frontier-pass","https://i.seadn.io/s/raw/files/e4ca6a5fa908291ce489926fb25c924f.png?auto=format&dpr=1&w=3840","Vendetta Frontier Pass","95","21 ETH","+406%","0.22 ETH"
"22","https://opensea.io/collection/lilpudgys","https://i.seadn.io/gae/s4Td3KYsUlCblO6lQKAGAWdKwsCuumcxYpebM_YL-Pex-BP886JYAWjKBLeB5StNopAAD6kVx3QHqWm9AmudXyCaCZszHbt8SdteEQ?auto=format&dpr=1&w=3840","Lil Pudgys","86","79 ETH","-55%","0.95 ETH"
"24","https://opensea.io/collection/seedworld-vanguards-revealed","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Seedworld Vanguards","74","37 ETH","-12%","0.56 ETH"
"26","https://opensea.io/collection/proof-moonbirds","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Moonbirds","73","129 ETH","-50%","1.88 ETH"
"27","https://opensea.io/collection/yogapetz","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Yogapetz","72","48 ETH","-29%","0.69 ETH"
"25","https://opensea.io/collection/parallelalpha","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Parallel Alpha","74","9 ETH","+91%","< 0.01 ETH"
"23","https://opensea.io/collection/opepen-edition","https://i.seadn.io/gcs/files/b1c9ed2e584b4f6e418bf1ca15311844.jpg?auto=format&dpr=1&w=3840","Opepen Edition","79","41 ETH","+26%","0.39 ETH"
"21","https://opensea.io/collection/commongroundworld","https://i.seadn.io/s/raw/files/d58194984b7896db137bf4c0b96a6cd6.jpg?auto=format&dpr=1&w=3840","Common Ground World","91","15 ETH","+301%","< 0.01 ETH"
"18","https://opensea.io/collection/y00ts","https://i.seadn.io/s/raw/files/2c36035682c874a7940051e79e8fe906.png?auto=format&dpr=1&w=3840","y00ts","121","62 ETH","+40%","0.57 ETH"
"19","https://opensea.io/collection/skyborne-nexiangems","https://i.seadn.io/gcs/files/fbefa1b41f7883f332c66288c3661813.gif?auto=format&dpr=1&w=3840","Skyborne - Nexian Gems","118","92 ETH","-59%","0.93 ETH"
"17","https://opensea.io/collection/blockgames-dice-5555","https://i.seadn.io/s/raw/files/2977805d19a49a608d5387ac4bdc24e9.png?auto=format&dpr=1&w=3840","BlockGames Dice","136","62 ETH","+36%","0.43 ETH"
"12","https://opensea.io/collection/skyborne-genesisimmortals","https://i.seadn.io/gcs/files/65b163eaee2f95a2c25bfbd9f2c898ca.gif?auto=format&dpr=1&w=3840","Skyborne - Genesis Immortals","184","19 ETH","+271%","0.12 ETH"
"14","https://opensea.io/collection/overworld-incarna","https://i.seadn.io/s/raw/files/379cdb1ea0a7ee68498d81c3a46b6790.jpg?auto=format&dpr=1&w=3840","OVERWORLD INCARNA","167","394 ETH","+20%","2.78 ETH"
"15","https://opensea.io/collection/grayboys","https://i.seadn.io/gcs/files/119617e98d304a4f237cfc8f0eab36f0.png?auto=format&dpr=1&w=3840","Gray Boys","145","11 ETH","+993%","0.12 ETH"
"13","https://opensea.io/collection/kokodinft","https://i.seadn.io/gcs/files/3e51f5f71cc5a91fc57655dade362f36.png?auto=format&dpr=1&w=3840","KOKODI","182","18 ETH","-60%","0.09 ETH"
