"idNFT","urlNFT","imageNFT","nameNFT","salesNFT","volumnNFT","changeNFT","floorPriceNFT"
"97","https://opensea.io/collection/winds-of-yawanawa","https://i.seadn.io/gcs/files/98795786ed318c580e8438874c21603f.jpg?auto=format&dpr=1&w=3840","Winds of Yawanawa by Yawanawa and Refik Anadol","5","33 ETH","+120%","7.65 ETH"
"94","https://opensea.io/collection/the-grapes","https://i.seadn.io/gcs/files/39d91be7a3328d2c4655cdf39a08dc71.gif?auto=format&dpr=1&w=3840","The Grapes","6","9 ETH","+192%","1.94 ETH"
"95","https://opensea.io/collection/io-imaginary-ones","https://i.seadn.io/gae/NrS4UlK9ZqH2GuH_faBRtH2RIlsHHy3h9OmFpN46S1Y2gH6F3cBgZxZpJ-iuTdFZWsX2MaHNXaigXLaWtgp3zx4SrPDlD0CGj2L2Zs4?auto=format&dpr=1&w=3840","IO: Imaginary Ones","6","6 ETH","-33%","1.12 ETH"
"93","https://opensea.io/collection/neotokyo-outer-citizens","https://i.seadn.io/gcs/files/827bae7c89a17abddfd7b831461a3213.png?auto=format&dpr=1&w=3840","Neo Tokyo Outer Citizens","6","16 ETH","-41%","2.60 ETH"
"90","https://opensea.io/collection/cryptoadz-by-gremplin","https://i.seadn.io/gae/iofetZEyiEIGcNyJKpbOafb_efJyeo7QOYnTog8qcQJhqoBU-Vu9l3lXidZhXOAdu6dj4fzWW6BZDU5vLseC-K03rMMu-_j2LvwcbHo?auto=format&dpr=1&w=3840","CrypToadz by GREMPLIN","9","7 ETH","-54%","0.89 ETH"
"91","https://opensea.io/collection/otherside-koda","https://i.seadn.io/gcs/files/adeb11bcd531b77f55ce10c217e50841.jpg?auto=format&dpr=1&w=3840","Otherside Koda","6","31 ETH","+109%","3.90 ETH"
"80","https://opensea.io/collection/thecaptainz","https://i.seadn.io/gcs/files/6df4d75778066bce740050615bc84e21.png?auto=format&dpr=1&w=3840","The Captainz","14","74 ETH","+89%","4.30 ETH"
"88","https://opensea.io/collection/oh-ottie","https://i.seadn.io/gcs/files/b00ac40b1be4c491b46a65a98fa21480.gif?auto=format&dpr=1&w=3840","Oh Ottie!","10","11 ETH","-77%","1.35 ETH"
"80","https://opensea.io/collection/thecaptainz","https://i.seadn.io/gcs/files/6df4d75778066bce740050615bc84e21.png?auto=format&dpr=1&w=3840","The Captainz","14","74 ETH","+89%","4.30 ETH"
"72","https://opensea.io/collection/wassiesbywassies","https://i.seadn.io/gae/ju6vDR0sbEvqT0bAb4QPEzYMzpReEllDZ5MlICtxqJu76G5UrZ0cT-w6X3Mzf9e8KXZXJGNIyXGDRAoL-qlaApiJsj27ZdbOY5VvCA?auto=format&dpr=1&w=3840","Wassies by Wassies","17","6 ETH","+30%","0.39 ETH"
"80","https://opensea.io/collection/thecaptainz","https://i.seadn.io/gcs/files/6df4d75778066bce740050615bc84e21.png?auto=format&dpr=1&w=3840","The Captainz","14","74 ETH","+89%","4.30 ETH"
"84","https://opensea.io/collection/mavia-land","https://i.seadn.io/gcs/files/af3f8275c2b4fde9aa5c964584186144.gif?auto=format&dpr=1&w=3840","Mavia Land","12","9 ETH","+67%","0.65 ETH"
"86","https://opensea.io/collection/mocaverse","https://i.seadn.io/gcs/files/6a0b776c9bb3973d1dd8d399353da9f5.gif?auto=format&dpr=1&w=3840","Mocaverse","11","34 ETH","+32%","3.20 ETH"
"88","https://opensea.io/collection/oh-ottie","https://i.seadn.io/gcs/files/b00ac40b1be4c491b46a65a98fa21480.gif?auto=format&dpr=1&w=3840","Oh Ottie!","10","11 ETH","-77%","1.35 ETH"
"92","https://opensea.io/collection/l3e7-worlds","https://i.seadn.io/s/raw/files/d534ca48dbdcd80ef9e53cc70f8acebb.png?auto=format&dpr=1&w=3840","L3E7 Worlds","6","29 ETH","+182%","6.02 ETH"
"96","https://opensea.io/collection/bitairt","https://i.seadn.io/gae/EUGRVvsHqslpM5yKXU2Ga-EntseA--VIMu9_fuP9dl_T_BQg1L4RPUlUOCWYaVoBISpaKBSnJZmuD5kZo0X5slE?auto=format&dpr=1&w=3840","DeepBlack","6","6 ETH","-48%","1.25 ETH"
"98","https://opensea.io/collection/official-v1-punks","https://i.seadn.io/gae/iIo0vm6cqiOaUwFI58-Rz61Watioc0GZ_SdhdcFJqgdYlQJNjjdzJ7-vodNEDJMG0ZJ-dE6yELuQfAJ6FzjpqtovU0bd3pLp1F1grg?auto=format&dpr=1&w=3840","CryptoPunks V1 (wrapped)","5","19 ETH","+145%","3.99 ETH"
"99","https://opensea.io/collection/berachain-bit-bears","https://i.seadn.io/gcs/files/dbd7cb32c48e836afee0f28acdf0cc5d.jpg?auto=format&dpr=1&w=3840","Bit Bears by Berachain","5","12 ETH","-18%","2.48 ETH"
"100","https://opensea.io/collection/thepotatoz","https://i.seadn.io/gcs/files/129b97582f0071212ee7cf440644fc28.gif?auto=format&dpr=1&w=3840","The Potatoz","5","8 ETH","+16%","1.72 ETH"
"80","https://opensea.io/collection/thecaptainz","https://i.seadn.io/gcs/files/6df4d75778066bce740050615bc84e21.png?auto=format&dpr=1&w=3840","The Captainz","14","74 ETH","+89%","4.30 ETH"
"72","https://opensea.io/collection/wassiesbywassies","https://i.seadn.io/gae/ju6vDR0sbEvqT0bAb4QPEzYMzpReEllDZ5MlICtxqJu76G5UrZ0cT-w6X3Mzf9e8KXZXJGNIyXGDRAoL-qlaApiJsj27ZdbOY5VvCA?auto=format&dpr=1&w=3840","Wassies by Wassies","17","6 ETH","+30%","0.39 ETH"
"64","https://opensea.io/collection/impostors-genesis-aliens","https://i.seadn.io/s/raw/files/ed928558c4778f80e6096904e0814c2c.png?auto=format&dpr=1&w=3840","Impostors Genesis Aliens","21","15 ETH","+139%","0.68 ETH"
"72","https://opensea.io/collection/wassiesbywassies","https://i.seadn.io/gae/ju6vDR0sbEvqT0bAb4QPEzYMzpReEllDZ5MlICtxqJu76G5UrZ0cT-w6X3Mzf9e8KXZXJGNIyXGDRAoL-qlaApiJsj27ZdbOY5VvCA?auto=format&dpr=1&w=3840","Wassies by Wassies","17","6 ETH","+30%","0.39 ETH"
"48","https://opensea.io/collection/azragames-thehopeful","https://i.seadn.io/gcs/files/32469815c1d8c3cbec6541f35d991adc.gif?auto=format&dpr=1&w=3840","Azra Games - The Hopeful","37","22 ETH","+86%","0.65 ETH"
"48","https://opensea.io/collection/azragames-thehopeful","https://i.seadn.io/gcs/files/32469815c1d8c3cbec6541f35d991adc.gif?auto=format&dpr=1&w=3840","Azra Games - The Hopeful","37","22 ETH","+86%","0.65 ETH"
"32","https://opensea.io/collection/nakamigos","https://i.seadn.io/gcs/files/1619b033c453fe36c5d9e2ac451379a7.png?auto=format&dpr=1&w=3840","Nakamigos","55","12 ETH","+47%","0.17 ETH"
"40","https://opensea.io/collection/azukielementals","https://i.seadn.io/gcs/files/bbaf43ee4a02d5affb7e8fc186d0bdb5.png?auto=format&dpr=1&w=3840","Azuki Elementals","48","28 ETH","-42%","0.54 ETH"
"32","https://opensea.io/collection/nakamigos","https://i.seadn.io/gcs/files/1619b033c453fe36c5d9e2ac451379a7.png?auto=format&dpr=1&w=3840","Nakamigos","55","12 ETH","+47%","0.17 ETH"
"16","https://opensea.io/collection/blockgames-dice-5555","https://i.seadn.io/s/raw/files/2977805d19a49a608d5387ac4bdc24e9.png?auto=format&dpr=1&w=3840","BlockGames Dice","111","54 ETH","-9%","0.44 ETH"
"24","https://opensea.io/collection/shrapnel-operators-collection","https://i.seadn.io/gae/N-0Ykz_InP31IMCnBV4gXAjPfXbkoOmENXGZjKRdK6mo2dO-hRcAHHPyQ-oBLcQMgWwzmh06GHeJ5U0yib3IDE9ekrvVc_-qlOWK?auto=format&dpr=1&w=3840","Shrapnel Operators Collection","71","18 ETH","+274%","0.27 ETH"
"16","https://opensea.io/collection/blockgames-dice-5555","https://i.seadn.io/s/raw/files/2977805d19a49a608d5387ac4bdc24e9.png?auto=format&dpr=1&w=3840","BlockGames Dice","111","54 ETH","-9%","0.44 ETH"
"16","https://opensea.io/collection/blockgames-dice-5555","https://i.seadn.io/s/raw/files/2977805d19a49a608d5387ac4bdc24e9.png?auto=format&dpr=1&w=3840","BlockGames Dice","111","54 ETH","-9%","0.44 ETH"
