idNFT,urlNFT,imageNFT,nameNFT,salesNFT,volumnNFT,changeNFT,floorPriceNFT,gateway,datetime
15,https://rarible.com/skyborne-nexiangems,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy9mYmVmYTFiNDFmNzg4M2YzMzJjNjYyODhjMzY2MTgxMy5naWY/dz01MDAmYXV0bz1mb3JtYXQ=,Skyborne - Nexian Gems,957,855.2 ETH,223.50%,1.4 ETH,rarible,15/12/2023
16,https://rarible.com/miladymaker,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1WaFh2eUtzTkVEYWtGc3V0cVFkZHRvdFdybjI4WU5ZSzI4dGs1c0VrbWhMVw==,Milady Maker,3.7K,845.8 ETH,-53.60%,2.649 ETH,rarible,15/12/2023
17,https://rarible.com/blockgames-dice-5555,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzLzI5Nzc4MDVkMTlhNDlhNjA4ZDUzODdhYzRiZGMyNGU5LnBuZz93PTUwMCZhdXRvPWZvcm1hdA==,BlockGames Dice,2K,785.9 ETH,-29.80%,0.49 ETH,rarible,15/12/2023
18,https://rarible.com/collection/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1UTlJkd1l2ZDVuc01Wb1VHWDRHdTJaV3dnYktidTlOTmR4REx0Y3dFRThLcg==,CloneX,10.1K,747.1 ETH,-55%,1.17 ETH,rarible,15/12/2023
19,https://rarible.com/raw-pass,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzL2U2MjQ5ZWIzYWI1Mzc1ODQ1ZTRlNjliMzRkNzZlOWIyLnBuZz93PTUwMCZhdXRvPWZvcm1hdA==,raW Pass,1.8K,664.2 ETH,29.20%,0.186 ETH,rarible,15/12/2023
20,https://rarible.com/poglin,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzLzliOTc1YmIxOWYxY2VmMDgzN2VmY2ZmMzZmNjJjNDEzLnBuZz93PTUwMCZhdXRvPWZvcm1hdA==,Poglin: Nycra,2.2K,589.7 ETH,-48.40%,0.23 ETH,rarible,15/12/2023
21,https://rarible.com/ultiverse-electric-sheep,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9vcGVuc2VhdXNlcmRhdGEuY29tL2ZpbGVzL2EzZjhjMmU1OWM0ZDg1NmRhZTA3NTc5Y2NkYmJkYTNlLmdpZg==,ElectricSheep,2.3K,571.5 ETH,158.10%,1.849 ETH,rarible,15/12/2023
22,https://rarible.com/farm-land,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1QblllcTNUZDhuem93d0hiSlRpYmVIVXNDQll0c3plU3pGeWp6NjZMaWY2Qw==,Farm Land by Pixels,2K,566.2 ETH,54.90%,1.938 ETH,rarible,15/12/2023
23,https://rarible.com/alpha-prestige-fusionist-official,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy8wMzI0NTM4ZDM3ZDIxM2VhNjlhMTBjZmZmMmY4NTU3Ny5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,ALPHA PRESTIGE,406,499.6 ETH,27.10%,14.49 ETH,rarible,15/12/2023
24,https://rarible.com/collection/polygon/0xaf014bed0f38a7e02593a074e5066da26c576a00,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvYmFma3JlaWF1eGtsYTZkYXdkb2tjY2h4YXFxa2t5cW41eDc1cmZ4N2p4dHRmdmc0NmlxNGNvcWV4cm0=,Farcana: Mars Enigma Vault,588,"1,347,835 MATIC",—,"4,156 MATIC",rarible,15/12/2023
25,https://rarible.com/yogapetz,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy8yNDViMzJhYmVhMTVkZDE3ZTg4NTUwMTM1MzhmZDEzNi5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,Yogapetz,3.4K,448.8 ETH,43.30%,0.729 ETH,rarible,15/12/2023
26,https://rarible.com/doodlescollection,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1TckJCWjExOEhwWHF5VGRGZHpXc01IS1A3S3V3clRzS0Mxc2dVMVc5elVUeA==,Doodles,5.8K,435.6 ETH,-9.10%,1.946 ETH,rarible,15/12/2023
27,https://rarible.com/wrapped-cryptopunks,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1OcXl0cHFmYWVhZlRIVmJmZkdVNXZwWGNwOUN5UkZ4YVQ5N0Z1cmhzblE3eg==,Wrapped Cryptopunks,154,424.3 ETH,29.50%,58 ETH,rarible,15/12/2023
28,https://rarible.com/collection/0xfd1b0b0dfa524e1fd42e7d51155a663c581bbd50,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzLzJjMzYwMzU2ODJjODc0YTc5NDAwNTFlNzllOGZlOTA2LnBuZz93PTUwMCZhdXRvPWZvcm1hdA==,y00ts,4.5K,418.7 ETH,-26.30%,0.545 ETH,rarible,15/12/2023
29,https://rarible.com/thecaptainz,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy9jNDlkMjQ5M2YyZWY0YTQwYTUzMDZmZGYxZjVjNmI0My5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,Captainz,4.1K,398.8 ETH,-21.30%,4.5 ETH,rarible,15/12/2023
30,https://rarible.com/sugartownoras,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy83YmYwOTZmNDk1NmZmYWM1NjY3Njg3MjE2MDk5OGJjOS5naWY/dz01MDAmYXV0bz1mb3JtYXQ=,Sugartown Oras,1.1K,397.8 ETH,-65.60%,0.499 ETH,rarible,15/12/2023
31,https://rarible.com/animalia-tundra-titans,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvYmFma3JlaWZsdWEzcGRxbm9vN2NkN2ZtaDV6dGV5ZGRpdWh1dXNtNjdjd2NkNm52c2g3dXNnbWEyc2k=,Animalia Tundra Titans,1.7K,337.9 ETH,—,0.17 ETH,rarible,15/12/2023
32,https://rarible.com/otherside-koda,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy9hZGViMTFiY2Q1MzFiNzdmNTVjZTEwYzIxN2U1MDg0MS5qcGc/dz01MDAmYXV0bz1mb3JtYXQ=,Otherside Koda,3.5K,330.6 ETH,-68.70%,3.92 ETH,rarible,15/12/2023
33,https://rarible.com/fortune-founder-s-key-by-aofverse-2,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9yZXNvdXJjZXMueHRlci5pby9mdW5mb2dfdXBsb2FkLzFkY2NlMGNiMjcwYS9nYW1lLzE3MDA4ODIwNzgtMjY3MTg0NTk2MDQwODY1MzQ4NC5wbmc=,Fortune Founder's Key by AOFverse,1K,324.1 ETH,6.20%,0.559 ETH,rarible,15/12/2023
34,https://rarible.com/mocaverse,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvYmFma3JlaWRsaHJ3ZTNia21zdnRwcjN3dGZzbTd4d3lqbHZldnJyNm51bnJpZTRkaWxtZG8yZzdienk=,Mocaverse,2.1K,309.6 ETH,-47%,3.894 ETH,rarible,15/12/2023
35,https://rarible.com/mittaria-genesis,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvYmFmeWJlaWRxazdwbzZmYmN3Z3E2YzZueW16bW9jcTc1aHphMmFhb2hzbHFqdnI0dHczZHZkc3Jmank=,Mittaria Genesis,1.1K,285.6 ETH,172%,1.12 ETH,rarible,15/12/2023
36,https://rarible.com/collection/0x3c14f8a113ada4922d37f5fd9e1cc8a1368ddf3e,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL3ptOF9FVHBvMU5KR1VsbVpNUnljeEtzOEpoeTNhUFJRanpxVXVFQjB2Tkd2QVRMOEstd0NPM0paTXkyaDVPMHNMeFJud3VDaXhKejhtUzhHZ0RvVTVweHJRc2FiWVJ1V2FCRT1zMTIw,Fidenza by Tyler Hobbs,485,282.8 ETH,381%,59.88 ETH,rarible,15/12/2023
37,https://rarible.com/bored-ape-kennel-club,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvYmFma3JlaWMza2lidDd1a3Boa3FsM3d5d3drYWxmaXRncHpubDJ0ZWR6NGNoeGFrazRzamhiNHBibDQ=,BoredApeKennelClub,5.2K,269.5 ETH,3.80%,1.598 ETH,rarible,15/12/2023
38,https://rarible.com/azukielementals,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy9iYmFmNDNlZTRhMDJkNWFmZmI3ZThmYzE4NmQwYmRiNS5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,Azuki Elementals,5K,265.8 ETH,-33.90%,0.585 ETH,rarible,15/12/2023
39,https://rarible.com/opepen-edition,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy80YWZhZGM1MTBlYjE3YThjOTZkMjVhZWNkMjNiMDAxYS5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,Opepen Edition,4.6K,254.4 ETH,-32.50%,0.39 ETH,rarible,15/12/2023
40,https://rarible.com/pioneer-of-fusionist,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy80N2RjY2ZhODYzZDRjN2I4NzdkNGI0NDRiYmJkZjE1Ni5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,Pioneer of Fusionist,234,255.5 ETH,5.50%,3.6 ETH,rarible,15/12/2023
41,https://rarible.com/terra-forms,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1iSDFOdHBvdlp0U0JOckoxVko0YUFZUm5nNGJxZGR5eTZBUjhjdDZTdEVrVg==,Terraforms by Mathcastles,2K,241.8 ETH,51.20%,1.49 ETH,rarible,15/12/2023
42,https://rarible.com/otherdeed,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL3lJbS1NNS1CcFNEZFRFSUpSdDVENnhwaGl6aElkb3pYanFTSVRnSzRwaFdxN01tQVUzcUU3Tnc3UE9HQ2lQR3lodEozWkZQOGlKMjlURmwtUkxjR0JXWDVxSTQtWmNuQ1Bjc1k0ekk9czEyMA==,Otherdeed,17.1K,226 ETH,-38.80%,0.54 ETH,rarible,15/12/2023
43,https://rarible.com/otherdeed-expanded,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy85NTgzYWI0NzkyYTgzY2Q4MWQ1MDc1YjU5NTE0YTM0YS5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,Otherdeed Expanded,13.2K,214.1 ETH,24.80%,0.313 ETH,rarible,15/12/2023
44,https://rarible.com/remilio-babies,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9vcGVuc2VhdXNlcmRhdGEuY29tL2ZpbGVzLzlkNjE2OGU3MzFhZmQwMmQ1ZTg3OGViMDM4NzZjZmQ0LmdpZg==,Redacted Remilio Babies,2.8K,213.2 ETH,-41.10%,0.528 ETH,rarible,15/12/2023
45,https://rarible.com/kanpai-pandas,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL1A2RTQwMXF1azF2eFlTRVdaOU40QlhiVk1TUVg1SGc2azA1bHdfdGgySWpGQTlDanhVcENWSjdjLUpwNF9lSXNENGU2Y0hyQjZjRWY0Vnd1ME03UXpnZ05aYThJQVlkVHBzdVU9czEyMA==,Yakuza Pandas,2.3K,208.4 ETH,-78.40%,1.549 ETH,rarible,15/12/2023
46,https://rarible.com/kartparty-ykz-1,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy8wNmRkZGJmMWJhOTE4Yzk5MGE1MGYxOTRkNWNhMjA5ZS5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,KartParty-YKZ,251,184.9 ETH,117%,2.5 ETH,rarible,15/12/2023
47,https://rarible.com/skyborne-genesisimmortals,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy9mNTMwYzc5NmRjZTA1ZDZkYmQ3ZjY2NmI3MDBjNTA0MC5naWY/dz01MDAmYXV0bz1mb3JtYXQ=,Skyborne - Genesis Immortals,1.7K,182.1 ETH,98.30%,0.13 ETH,rarible,15/12/2023
48,https://rarible.com/matr1x-2061-1,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy81MTQwMjAzODZjZTViYWQ5Zjc4MjI4M2QwYTM3ODNlZS5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,Matr1x 2061,645,174.9 ETH,-28.20%,3.1 ETH,rarible,15/12/2023
49,https://rarible.com/beanzofficial,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1YVDhkMTJibm9mSndjbmFxc0NXaTRqYmI2TWNuU01CTjhwcDNYcnQyRUMyVg==,BEANZ Official,8K,162.7 ETH,-1.80%,0.43 ETH,rarible,15/12/2023
50,https://rarible.com/l3e7-worlds,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzL2Q1MzRjYTQ4ZGJkY2Q4MGVmOWU1M2NjNzBmOGFjZWJiLnBuZz93PTUwMCZhdXRvPWZvcm1hdA==,L3E7 Worlds,356,163.1 ETH,-57.80%,5.88 ETH,rarible,15/12/2023
51,https://rarible.com/meebits,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1UclRHRktRdHJWRTlUTGZkejNCM2RUR3Ztcjg5aGhITHZia0NGSlBqWWc2NQ==,Meebits,6.7K,160.6 ETH,4.70%,1.349 ETH,rarible,15/12/2023
52,https://rarible.com/winds-of-yawanawa-by-yawanawa-and-refik-anadol,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy85ODc5NTc4NmVkMzE4YzU4MGU4NDM4ODc0YzIxNjAzZi5qcGc/dz01MDAmYXV0bz1mb3JtYXQ=,Winds of Yawanawa by Yawanawa and Refik Anadol,620,160.4 ETH,-27.40%,7.099 ETH,rarible,15/12/2023
53,https://rarible.com/descendants-of-smurfcat,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzL2RkNTRiODQxMzk2MGMzNTQwYzhlNmU1YzE0NGU1OGZjLmpwZz93PTUwMCZhdXRvPWZvcm1hdA==,Descendants of Smurfcat,1.7K,147.5 ETH,16.10%,0.135 ETH,rarible,15/12/2023
54,https://rarible.com/cool-cats-nft,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1iQktoZnk5RFNLRUdBOXRqamZyTjQ1YTRHWUJBbVljVVQzaXE2cUxTRWJERA==,Cool Cats,5.9K,145 ETH,-49.60%,0.894 ETH,rarible,15/12/2023
