"idNFT","urlNFT","imageNFT","nameNFT","salesNFT","volumnNFT","changeNFT","floorPriceNFT"
"1","https://rarible.com/azuki","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1iSml0MWE5SnAzNUQyQVpkaVRkZkxuNkpDWFFTYm4xTHcyMzdxWldmQ01mZQ==","Azuki","4.4K","2,512 ETH","+119.9%","6.358 ETH"
"2","https://rarible.com/collection/0x60e4d786628fea6478f785a6d7e704777c86a7c6","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1hb2FmeWpCeTk3TktFUFp6QUQzRks4UmN3Q0pIYjI2M2RESmJoQ2FYUFdwbw==","MutantApeYachtClub","11.8K","978.2 ETH","+22.8%","5.29 ETH"
"3","https://rarible.com/pudgypenguins","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1TVHJBNXBjZjc1VE5aUldaYzVGaUpyYWpKem1NR0N3ZkNxZlZBcERrZ2NLRQ==","Pudgy Penguins","4.6K","667.1 ETH","+24.2%","10.89 ETH"
"4","https://rarible.com/collection/0x8821bee2ba0df28761afff119d66390d594cd280","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy9jNmNiMGIxZDZmMmFiNjFjMGVmYWNmMDBlNjJlMjIzMC5qcGc/dz01MDAmYXV0bz1mb3JtYXQ=","DeGods","2.6K","651.1 ETH","-9.2%","2.788 ETH"
"5","https://rarible.com/matr1x-kuku","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzLzkwODg0OTNlNDZkZWRmOTlkM2UwZTY2MTBjZDY2OGZjLnBuZz93PTUwMCZhdXRvPWZvcm1hdA==","MATR1X KUKU","2.1K","447.5 ETH","-0.2%","3.39 ETH"
"6","https://rarible.com/collection/0x23581767a106ae21c074b2276d25e5c3e136a68b","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1TZnJUV1prRXpqS1R4ZzFldU0xaVFtTW51eDN0QVZkTjduelVicWY4Q0RGaw==","Moonbirds","5.9K","329.1 ETH","-0.6%","1.39 ETH"
"7","https://rarible.com/boredapeyachtclub","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL0p1OUNrV3RWLTFPa3ZmNDV3bzhVY3RSLU05SGUyUGpJTFAwb092eEU4OUF5aVBQR3RyUjNneXN1MVpneTBoamQyeEtJZ2pKSnRXSWMweWJqNFZkN3d2OHQzcHhER0hvSkJ6REI9czEyMA==","Bored Ape Yacht Club","5.8K","310.1 ETH","-9.3%","26.98 ETH"
"8","https://rarible.com/godsunchained","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pbWFnZXMuZ29kc3VuY2hhaW5lZC5jb20vbWlzYy9ndS1jb3Zlci1waG90by0xLmpwZw==","Gods Unchained","206.3K","309 ETH","+4,423.8%","~0.001 ETH"
"9","https://rarible.com/collection/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1UTlJkd1l2ZDVuc01Wb1VHWDRHdTJaV3dnYktidTlOTmR4REx0Y3dFRThLcg==","CloneX","10.1K","290.1 ETH","+345.2%","1.17 ETH"
"10","https://rarible.com/the-grapes","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy8zOWQ5MWJlN2EzMzI4ZDJjNDY1NWNkZjM5YTA4ZGM3MS5naWY/dz01MDAmYXV0bz1mb3JtYXQ=","The Grapes","1.1K","219.1 ETH","-48.6%","1.7 ETH"
