idNFT,urlNFT,imageNFT,nameNFT,salesNFT,volumnNFT,changeNFT,floorPriceNFT,gateway,datetime
1,https://rarible.com/matr1x-kuku,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzLzkwODg0OTNlNDZkZWRmOTlkM2UwZTY2MTBjZDY2OGZjLnBuZz93PTUwMCZhdXRvPWZvcm1hdA==,MATR1X KUKU,1.9K,"6,674 ETH",—,3.15 ETH,rarible,12/12/2023
2,https://rarible.com/collection/0x60e4d786628fea6478f785a6d7e704777c86a7c6,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1hb2FmeWpCeTk3TktFUFp6QUQzRks4UmN3Q0pIYjI2M2RESmJoQ2FYUFdwbw==,MutantApeYachtClub,11.8K,"6,414 ETH",13.10%,5.2 ETH,rarible,12/12/2023
3,https://rarible.com/boredapeyachtclub,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL0p1OUNrV3RWLTFPa3ZmNDV3bzhVY3RSLU05SGUyUGpJTFAwb092eEU4OUF5aVBQR3RyUjNneXN1MVpneTBoamQyeEtJZ2pKSnRXSWMweWJqNFZkN3d2OHQzcHhER0hvSkJ6REI9czEyMA==,Bored Ape Yacht Club,5.8K,"6,362 ETH",-52.60%,27.3 ETH,rarible,12/12/2023
4,https://rarible.com/azuki,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1iSml0MWE5SnAzNUQyQVpkaVRkZkxuNkpDWFFTYm4xTHcyMzdxWldmQ01mZQ==,Azuki,4.4K,"5,727 ETH",62%,5.898 ETH,rarible,12/12/2023
5,https://rarible.com/pudgypenguins,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1TVHJBNXBjZjc1VE5aUldaYzVGaUpyYWpKem1NR0N3ZkNxZlZBcERrZ2NLRQ==,Pudgy Penguins,4.6K,"4,976 ETH",-54.70%,10.6 ETH,rarible,12/12/2023
6,https://rarible.com/collection/0xfdf5acd92840e796955736b1bb9cc832740744ba,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9yZXNvdXJjZXMueHRlci5pby9mdW5mb2dfdXBsb2FkL2Y2NjQwNDM1MWE5MS9nYW1lLzE3MDIyNzg0NTItODQxNTAzMzM1OTI5NTA1MTk4Ny5qcGc=,OVERWORLD INCARNA,2.2K,"3,566 ETH",—,1.799 ETH,rarible,12/12/2023
7,https://rarible.com/collection/0x8821bee2ba0df28761afff119d66390d594cd280,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy9jNmNiMGIxZDZmMmFiNjFjMGVmYWNmMDBlNjJlMjIzMC5qcGc/dz01MDAmYXV0bz1mb3JtYXQ=,DeGods,2.6K,"2,963 ETH",-27.70%,2.75 ETH,rarible,12/12/2023
8,https://rarible.com/miladymaker,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1WaFh2eUtzTkVEYWtGc3V0cVFkZHRvdFdybjI4WU5ZSzI4dGs1c0VrbWhMVw==,Milady Maker,3.7K,"1,624 ETH",9.50%,2.75 ETH,rarible,12/12/2023
9,https://rarible.com/TheWarlords,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvYmFma3JlaWZkeWtzdTY0cHQ3bm55amozZDZydWV2NmpyYjZuaW9rcHBuejdjeXBrZGpiMmE1amw0eGE=,The Warlords of Champions Tactics,4.6K,"1,521 ETH",—,0.198 ETH,rarible,12/12/2023
10,https://rarible.com/lilpudgys,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL0F2SEk1T2dDZHBMaWhQblE0OFJhdF92OHh5LUlORXNEQU44aWQ4bmFhWnJINkp3Y1lxc0Y2TGN2UUFuRG91YmJlbVJvU3psOUZnOE80T3poZUF3VDNtU1VTNURwWWU1NE95eUxydz1zMTIw,Lil Pudgys,8K,"1,501 ETH",-63.30%,0.945 ETH,rarible,12/12/2023
11,https://rarible.com/poglin,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzLzliOTc1YmIxOWYxY2VmMDgzN2VmY2ZmMzZmNjJjNDEzLnBuZz93PTUwMCZhdXRvPWZvcm1hdA==,Poglin: Nycra,2.3K,"1,499 ETH",—,0.188 ETH,rarible,12/12/2023
12,https://rarible.com/pixelmongen1,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1jYjlCeXlZOXN5cHAxWTNNNHZmWTNYYmdFYjlYN0dlRXRiZTRmZkJqUHZiRg==,Pixelmon - Generation 1,2.7K,"1,332 ETH",-34.30%,2 ETH,rarible,12/12/2023
13,https://rarible.com/collection/0x5946aeaab44e65eb370ffaa6a7ef2218cff9b47d,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy8xM2YzYjZlNzIyNmY1NGQ3MzlhZDhjM2VkODM4ODAyYi5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,Creepz by OVERLORD,2.4K,"1,179 ETH",-18.40%,3.47 ETH,rarible,12/12/2023
14,https://rarible.com/blockgames-dice-5555,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzLzI5Nzc4MDVkMTlhNDlhNjA4ZDUzODdhYzRiZGMyNGU5LnBuZz93PTUwMCZhdXRvPWZvcm1hdA==,BlockGames Dice,2K,"1,139 ETH",37.60%,0.428 ETH,rarible,12/12/2023
15,https://rarible.com/otherside-koda,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy9hZGViMTFiY2Q1MzFiNzdmNTVjZTEwYzIxN2U1MDg0MS5qcGc/dz01MDAmYXV0bz1mb3JtYXQ=,Otherside Koda,3.5K,"1,027 ETH",123.40%,4.3 ETH,rarible,12/12/2023
16,https://rarible.com/collection/0x23581767a106ae21c074b2276d25e5c3e136a68b,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1TZnJUV1prRXpqS1R4ZzFldU0xaVFtTW51eDN0QVZkTjduelVicWY4Q0RGaw==,Moonbirds,5.9K,959.3 ETH,-8.20%,1.88 ETH,rarible,12/12/2023
21,https://rarible.com/sugartownoras,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy83YmYwOTZmNDk1NmZmYWM1NjY3Njg3MjE2MDk5OGJjOS5naWY/dz01MDAmYXV0bz1mb3JtYXQ=,Sugartown Oras,1K,515.7 ETH,-57.30%,0.469 ETH,rarible,12/12/2023
22,https://rarible.com/ultiverse-electric-sheep,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9vcGVuc2VhdXNlcmRhdGEuY29tL2ZpbGVzL2EzZjhjMmU1OWM0ZDg1NmRhZTA3NTc5Y2NkYmJkYTNlLmdpZg==,ElectricSheep,2.3K,454 ETH,349.60%,1.85 ETH,rarible,12/12/2023
23,https://rarible.com/farm-land,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1QblllcTNUZDhuem93d0hiSlRpYmVIVXNDQll0c3plU3pGeWp6NjZMaWY2Qw==,Farm Land by Pixels,2.1K,440.9 ETH,10.40%,1.585 ETH,rarible,12/12/2023
26,https://rarible.com/thecaptainz,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy9jNDlkMjQ5M2YyZWY0YTQwYTUzMDZmZGYxZjVjNmI0My5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,Captainz,4.1K,417.1 ETH,-66.60%,4.5 ETH,rarible,12/12/2023
