idNFT,urlNFT,imageNFT,nameNFT,salesNFT,volumnNFT,changeNFT,floorPriceNFT,gateway,datetime
1,https://rarible.com/azuki,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1iSml0MWE5SnAzNUQyQVpkaVRkZkxuNkpDWFFTYm4xTHcyMzdxWldmQ01mZQ==,Azuki,4.4K,"1,458 ETH",130.70%,5.898 ETH,rarible,19/12/2023
2,https://rarible.com/TheWarlords,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvYmFma3JlaWZkeWtzdTY0cHQ3bm55amozZDZydWV2NmpyYjZuaW9rcHBuejdjeXBrZGpiMmE1amw0eGE=,The Warlords of Champions Tactics,4.6K,"1,090 ETH",161.30%,0.198 ETH,rarible,19/12/2023
3,https://rarible.com/collection/0x60e4d786628fea6478f785a6d7e704777c86a7c6,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1hb2FmeWpCeTk3TktFUFp6QUQzRks4UmN3Q0pIYjI2M2RESmJoQ2FYUFdwbw==,MutantApeYachtClub,11.8K,"1,042 ETH",7.90%,5.2 ETH,rarible,19/12/2023
4,https://rarible.com/boredapeyachtclub,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL0p1OUNrV3RWLTFPa3ZmNDV3bzhVY3RSLU05SGUyUGpJTFAwb092eEU4OUF5aVBQR3RyUjNneXN1MVpneTBoamQyeEtJZ2pKSnRXSWMweWJqNFZkN3d2OHQzcHhER0hvSkJ6REI9czEyMA==,Bored Ape Yacht Club,5.8K,603.2 ETH,-6.90%,27.3 ETH,rarible,19/12/2023
5,https://rarible.com/pudgypenguins,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1TVHJBNXBjZjc1VE5aUldaYzVGaUpyYWpKem1NR0N3ZkNxZlZBcERrZ2NLRQ==,Pudgy Penguins,4.6K,592.5 ETH,48.40%,10.6 ETH,rarible,19/12/2023
6,https://rarible.com/collection/0x8821bee2ba0df28761afff119d66390d594cd280,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy9jNmNiMGIxZDZmMmFiNjFjMGVmYWNmMDBlNjJlMjIzMC5qcGc/dz01MDAmYXV0bz1mb3JtYXQ=,DeGods,2.6K,510.6 ETH,-16.90%,2.75 ETH,rarible,19/12/2023
7,https://rarible.com/collection/0xfdf5acd92840e796955736b1bb9cc832740744ba,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9yZXNvdXJjZXMueHRlci5pby9mdW5mb2dfdXBsb2FkL2Y2NjQwNDM1MWE5MS9nYW1lLzE3MDIyNzg0NTItODQxNTAzMzM1OTI5NTA1MTk4Ny5qcGc=,OVERWORLD INCARNA,2.2K,431.9 ETH,20.10%,1.799 ETH,rarible,19/12/2023
8,https://rarible.com/matr1x-kuku,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzLzkwODg0OTNlNDZkZWRmOTlkM2UwZTY2MTBjZDY2OGZjLnBuZz93PTUwMCZhdXRvPWZvcm1hdA==,MATR1X KUKU,1.9K,403.8 ETH,-27%,3.15 ETH,rarible,19/12/2023
9,https://rarible.com/alpha-prestige-fusionist-official,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy8wMzI0NTM4ZDM3ZDIxM2VhNjlhMTBjZmZmMmY4NTU3Ny5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,ALPHA PRESTIGE,404,159.4 ETH,-17.50%,12.98 ETH,rarible,19/12/2023
10,https://rarible.com/poglin,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzLzliOTc1YmIxOWYxY2VmMDgzN2VmY2ZmMzZmNjJjNDEzLnBuZz93PTUwMCZhdXRvPWZvcm1hdA==,Poglin: Nycra,2.3K,125 ETH,90.60%,0.188 ETH,rarible,19/12/2023
11,https://rarible.com/collection/0x23581767a106ae21c074b2276d25e5c3e136a68b,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1TZnJUV1prRXpqS1R4ZzFldU0xaVFtTW51eDN0QVZkTjduelVicWY4Q0RGaw==,Moonbirds,5.9K,121.8 ETH,-53.30%,1.88 ETH,rarible,19/12/2023
12,https://rarible.com/raw-pass,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzL2U2MjQ5ZWIzYWI1Mzc1ODQ1ZTRlNjliMzRkNzZlOWIyLnBuZz93PTUwMCZhdXRvPWZvcm1hdA==,raW Pass,1.8K,107 ETH,82.50%,0.163 ETH,rarible,19/12/2023
13,https://rarible.com/collection/0x5946aeaab44e65eb370ffaa6a7ef2218cff9b47d,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy8xM2YzYjZlNzIyNmY1NGQ3MzlhZDhjM2VkODM4ODAyYi5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,Creepz by OVERLORD,2.4K,106.4 ETH,-32%,3.47 ETH,rarible,19/12/2023
14,https://rarible.com/skyborne-nexiangems,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy9mYmVmYTFiNDFmNzg4M2YzMzJjNjYyODhjMzY2MTgxMy5naWY/dz01MDAmYXV0bz1mb3JtYXQ=,Skyborne - Nexian Gems,969,93.43 ETH,-19.40%,0.968 ETH,rarible,19/12/2023
15,https://rarible.com/sugartownoras,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy83YmYwOTZmNDk1NmZmYWM1NjY3Njg3MjE2MDk5OGJjOS5naWY/dz01MDAmYXV0bz1mb3JtYXQ=,Sugartown Oras,1K,83.64 ETH,28.80%,0.469 ETH,rarible,19/12/2023
16,https://rarible.com/lilpudgys,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL0F2SEk1T2dDZHBMaWhQblE0OFJhdF92OHh5LUlORXNEQU44aWQ4bmFhWnJINkp3Y1lxc0Y2TGN2UUFuRG91YmJlbVJvU3psOUZnOE80T3poZUF3VDNtU1VTNURwWWU1NE95eUxydz1zMTIw,Lil Pudgys,8K,78.63 ETH,-54%,0.945 ETH,rarible,19/12/2023
17,https://rarible.com/otherside-koda,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy9hZGViMTFiY2Q1MzFiNzdmNTVjZTEwYzIxN2U1MDg0MS5qcGc/dz01MDAmYXV0bz1mb3JtYXQ=,Otherside Koda,3.5K,78.28 ETH,155.10%,4.3 ETH,rarible,19/12/2023
18,https://rarible.com/collection/0xa3f690a1129c5da8273c89ca7bb593bf89e6c638,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvYmFma3JlaWNhbnRuYnZtdW42bTJocHp5ZGp4YXJyaWd3ZWc0NDY2amRxZzJncGluYmZtZmEyNmh5NGE=,KENTARO WAVES,394,71.85 ETH,83.90%,0.52 ETH,rarible,19/12/2023
12,https://rarible.com/raw-pass,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzL2U2MjQ5ZWIzYWI1Mzc1ODQ1ZTRlNjliMzRkNzZlOWIyLnBuZz93PTUwMCZhdXRvPWZvcm1hdA==,raW Pass,1.8K,107 ETH,82.50%,0.163 ETH,rarible,19/12/2023
13,https://rarible.com/collection/0x5946aeaab44e65eb370ffaa6a7ef2218cff9b47d,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy8xM2YzYjZlNzIyNmY1NGQ3MzlhZDhjM2VkODM4ODAyYi5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,Creepz by OVERLORD,2.4K,106.4 ETH,-32%,3.47 ETH,rarible,19/12/2023
14,https://rarible.com/skyborne-nexiangems,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy9mYmVmYTFiNDFmNzg4M2YzMzJjNjYyODhjMzY2MTgxMy5naWY/dz01MDAmYXV0bz1mb3JtYXQ=,Skyborne - Nexian Gems,969,93.43 ETH,-19.40%,0.968 ETH,rarible,19/12/2023
15,https://rarible.com/sugartownoras,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy83YmYwOTZmNDk1NmZmYWM1NjY3Njg3MjE2MDk5OGJjOS5naWY/dz01MDAmYXV0bz1mb3JtYXQ=,Sugartown Oras,1K,83.64 ETH,28.80%,0.469 ETH,rarible,19/12/2023
16,https://rarible.com/lilpudgys,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL0F2SEk1T2dDZHBMaWhQblE0OFJhdF92OHh5LUlORXNEQU44aWQ4bmFhWnJINkp3Y1lxc0Y2TGN2UUFuRG91YmJlbVJvU3psOUZnOE80T3poZUF3VDNtU1VTNURwWWU1NE95eUxydz1zMTIw,Lil Pudgys,8K,78.63 ETH,-54%,0.945 ETH,rarible,19/12/2023
17,https://rarible.com/otherside-koda,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy9hZGViMTFiY2Q1MzFiNzdmNTVjZTEwYzIxN2U1MDg0MS5qcGc/dz01MDAmYXV0bz1mb3JtYXQ=,Otherside Koda,3.5K,78.28 ETH,155.10%,4.3 ETH,rarible,19/12/2023
18,https://rarible.com/collection/0xa3f690a1129c5da8273c89ca7bb593bf89e6c638,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvYmFma3JlaWNhbnRuYnZtdW42bTJocHp5ZGp4YXJyaWd3ZWc0NDY2amRxZzJncGluYmZtZmEyNmh5NGE=,KENTARO WAVES,394,71.85 ETH,83.90%,0.52 ETH,rarible,19/12/2023
19,https://rarible.com/thecaptainz,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy9jNDlkMjQ5M2YyZWY0YTQwYTUzMDZmZGYxZjVjNmI0My5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,Captainz,4.1K,63.58 ETH,-29.40%,4.5 ETH,rarible,19/12/2023
20,https://rarible.com/the-grapes,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy8zOWQ5MWJlN2EzMzI4ZDJjNDY1NWNkZjM5YTA4ZGM3MS5naWY/dz01MDAmYXV0bz1mb3JtYXQ=,The Grapes,1.1K,63 ETH,494.20%,2 ETH,rarible,19/12/2023
21,https://rarible.com/collection/0xfd1b0b0dfa524e1fd42e7d51155a663c581bbd50,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzLzJjMzYwMzU2ODJjODc0YTc5NDAwNTFlNzllOGZlOTA2LnBuZz93PTUwMCZhdXRvPWZvcm1hdA==,y00ts,4.5K,62.01 ETH,40.60%,0.565 ETH,rarible,19/12/2023
22,https://rarible.com/miladymaker,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1WaFh2eUtzTkVEYWtGc3V0cVFkZHRvdFdybjI4WU5ZSzI4dGs1c0VrbWhMVw==,Milady Maker,3.7K,61.69 ETH,-63.90%,2.75 ETH,rarible,19/12/2023
23,https://rarible.com/collection/0xce82e6c1d455f95ab71c4c04deb3aa575428230e,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvYmFma3JlaWZsdWEzcGRxbm9vN2NkN2ZtaDV6dGV5ZGRpdWh1dXNtNjdjd2NkNm52c2g3dXNnbWEyc2k=,Animalia Tundra Titans,1.9K,61.39 ETH,-19.70%,0.088 ETH,rarible,19/12/2023
24,https://rarible.com/library-onchain,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy8zZjY3ZWVkNjBkZTE0ZWQzYTJkYzFkZTM0ZDIyNjNkMy5naWY/dz01MDAmYXV0bz1mb3JtYXQ=,Library Onchain,345,61.36 ETH,—,3.5 ETH,rarible,19/12/2023
25,https://rarible.com/pixelmongen1,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1jYjlCeXlZOXN5cHAxWTNNNHZmWTNYYmdFYjlYN0dlRXRiZTRmZkJqUHZiRg==,Pixelmon - Generation 1,2.7K,57.88 ETH,-31.10%,2 ETH,rarible,19/12/2023
26,https://rarible.com/ultiverse-electric-sheep,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9vcGVuc2VhdXNlcmRhdGEuY29tL2ZpbGVzL2EzZjhjMmU1OWM0ZDg1NmRhZTA3NTc5Y2NkYmJkYTNlLmdpZg==,ElectricSheep,2.3K,56.28 ETH,-9.30%,1.85 ETH,rarible,19/12/2023
27,https://rarible.com/foundsmartclaim,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy82YmZlYjFlYjM0NDczOWU2ZTExY2ViN2I0N2QxZTI1Zi5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,FOUNDSmartClaim,14,54.78 ETH,—,11.6 ETH,rarible,19/12/2023
28,https://rarible.com/terra-forms,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1iSDFOdHBvdlp0U0JOckoxVko0YUFZUm5nNGJxZGR5eTZBUjhjdDZTdEVrVg==,Terraforms by Mathcastles,2K,53.63 ETH,32.10%,1.46 ETH,rarible,19/12/2023
29,https://rarible.com/wrapped-cryptopunks,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1OcXl0cHFmYWVhZlRIVmJmZkdVNXZwWGNwOUN5UkZ4YVQ5N0Z1cmhzblE3eg==,Wrapped Cryptopunks,163,52.16 ETH,1%,129 ETH,rarible,19/12/2023
30,https://rarible.com/yogapetz,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy8yNDViMzJhYmVhMTVkZDE3ZTg4NTUwMTM1MzhmZDEzNi5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,Yogapetz,3.4K,52.12 ETH,-21.50%,0.695 ETH,rarible,19/12/2023
31,https://rarible.com/collection/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1UTlJkd1l2ZDVuc01Wb1VHWDRHdTJaV3dnYktidTlOTmR4REx0Y3dFRThLcg==,CloneX,10.1K,51.89 ETH,3%,1.249 ETH,rarible,19/12/2023
32,https://rarible.com/opepen-edition,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy80YWZhZGM1MTBlYjE3YThjOTZkMjVhZWNkMjNiMDAxYS5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,Opepen Edition,4.6K,49.46 ETH,51.20%,0.37 ETH,rarible,19/12/2023
33,https://rarible.com/otherdeed-expanded,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy85NTgzYWI0NzkyYTgzY2Q4MWQ1MDc1YjU5NTE0YTM0YS5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,Otherdeed Expanded,13.2K,46.24 ETH,35.80%,0.287 ETH,rarible,19/12/2023
34,https://rarible.com/blockgames-dice-5555,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzLzI5Nzc4MDVkMTlhNDlhNjA4ZDUzODdhYzRiZGMyNGU5LnBuZz93PTUwMCZhdXRvPWZvcm1hdA==,BlockGames Dice,2K,41.54 ETH,-36%,0.428 ETH,rarible,19/12/2023
