idNFT,urlNFT,imageNFT,nameNFT,salesNFT,volumnNFT,changeNFT,floorPriceNFT,gateway,datetime
1,https://opensea.io/collection/the-ant-republic,https://i.seadn.io/s/raw/files/bb551a747fb817502a46705a5f7a1655.jpg?auto=format&dpr=1&w=3840,The Ant Republic,775,18 ETH,430%,0.02 ETH,opensea,18/12/2023
2,https://opensea.io/collection/kokodinft,https://i.seadn.io/gcs/files/3e51f5f71cc5a91fc57655dade362f36.png?auto=format&dpr=1&w=3840,KOKODI,382,45 ETH,-0.86%,0.14 ETH,opensea,18/12/2023
3,https://opensea.io/collection/skyborne-nexiangems,https://i.seadn.io/gcs/files/fbefa1b41f7883f332c66288c3661813.gif?auto=format&dpr=1&w=3840,Skyborne - Nexian Gems,360,223 ETH,1163%,0.74 ETH,opensea,18/12/2023
4,https://opensea.io/collection/poglin,https://i.seadn.io/s/raw/files/9b975bb19f1cef0837efcff36f62c413.png?auto=format&dpr=1&w=3840,Poglin: Nycra,337,67 ETH,29%,0.19 ETH,opensea,18/12/2023
5,https://opensea.io/collection/raw-pass,https://i.seadn.io/s/raw/files/e6249eb3ab5375845e4e69b34d76e9b2.png?auto=format&dpr=1&w=3840,Balthazar raW Pass,276,56 ETH,20%,0.20 ETH,opensea,18/12/2023
6,https://opensea.io/collection/parallelplanetfall,https://i.seadn.io/s/raw/files/4fce98acde508d20a97a6e3baae442d0.png?auto=format&dpr=1&w=3840,Parallel Planetfall,237,29 ETH,30%,< 0.01 ETH,opensea,18/12/2023
7,https://opensea.io/collection/degods,https://i.seadn.io/gcs/files/c6cb0b1d6f2ab61c0efacf00e62e2230.jpg?auto=format&dpr=1&w=3840,DeGods,230,621 ETH,235%,2.78 ETH,opensea,18/12/2023
8,https://opensea.io/collection/mutant-ape-yacht-club,https://i.seadn.io/gae/lHexKRMpw-aoSyB1WdFBff5yfANLReFxHzt1DOj_sg7mS14yARpuvYcUtsyyx-Nkpk6WTcUPFoG53VnLJezYi8hAs0OxNZwlw6Y-dmI?auto=format&dpr=1&w=3840,Mutant Ape Yacht Club,194,999 ETH,119%,5.32 ETH,opensea,18/12/2023
9,https://opensea.io/collection/lilpudgys,https://i.seadn.io/gae/s4Td3KYsUlCblO6lQKAGAWdKwsCuumcxYpebM_YL-Pex-BP886JYAWjKBLeB5StNopAAD6kVx3QHqWm9AmudXyCaCZszHbt8SdteEQ?auto=format&dpr=1&w=3840,Lil Pudgys,190,172 ETH,3%,0.94 ETH,opensea,18/12/2023
10,https://opensea.io/collection/overworld-incarna,https://i.seadn.io/s/raw/files/379cdb1ea0a7ee68498d81c3a46b6790.jpg?auto=format&dpr=1&w=3840,OVERWORLD INCARNA,161,332 ETH,-30%,2.32 ETH,opensea,18/12/2023
11,https://opensea.io/collection/w-rabbit,https://i.seadn.io/s/raw/files/db9fed8cca881d54c9edb49320b67910.png?auto=format&dpr=1&w=3840,THE WHITE RABBIT,153,10 ETH,-5%,0.02 ETH,opensea,18/12/2023
12,https://opensea.io/collection/proof-moonbirds,https://i.seadn.io/gcs/files/4bce6187fea476154b311dafaf327c89.png?auto=format&dpr=1&w=3840,Moonbirds,144,259 ETH,62%,2.05 ETH,opensea,18/12/2023
13,https://opensea.io/collection/sugartownoras,https://i.seadn.io/s/raw/files/045932f79c3036c05c3899651dd39a1c.png?auto=format&dpr=1&w=3840,Sugartown Oras by Zynga,124,61 ETH,50%,0.57 ETH,opensea,18/12/2023
14,https://opensea.io/collection/azuki,https://i.seadn.io/gae/H8jOCJuQokNqGBpkBN5wk1oZwO7LM8bNnrHCaekV2nKjnCqw6UB5oaH8XyNeBDj6bA_n1mjejzhFQUP3O1NfjFLHr3FOaeHcTOOT?auto=format&dpr=1&w=3840,Azuki,120,688 ETH,-44%,5.79 ETH,opensea,18/12/2023
15,https://opensea.io/collection/ether,https://i.seadn.io/s/raw/files/2ec7df3710428cdd6215261b6f3bfef0.jpg?auto=format&dpr=1&w=3840,Ether,113,24 ETH,1787%,0.19 ETH,opensea,18/12/2023
16,https://opensea.io/collection/blockgames-dice-5555,https://i.seadn.io/s/raw/files/2977805d19a49a608d5387ac4bdc24e9.png?auto=format&dpr=1&w=3840,BlockGames Dice,111,54 ETH,-9%,0.44 ETH,opensea,18/12/2023
17,https://opensea.io/collection/kitaroworld,https://i.seadn.io/gcs/files/495e3fc34c22c8e6e446ddcad5549cf7.gif?auto=format&dpr=1&w=3840,Kitaro World,110,32 ETH,113%,0.27 ETH,opensea,18/12/2023
18,https://opensea.io/collection/yogapetz,https://i.seadn.io/gcs/files/245b32abea15dd17e8855013538fd136.png?auto=format&dpr=1&w=3840,Yogapetz,107,75 ETH,320%,0.67 ETH,opensea,18/12/2023
19,https://opensea.io/collection/juuni-zodia,https://i.seadn.io/gcs/files/fe70a50ff571cdcb985c1beef412b01c.png?auto=format&dpr=1&w=3840,JUUNI Zodia,103,7 ETH,219%,0.06 ETH,opensea,18/12/2023
20,https://opensea.io/collection/y00ts,https://i.seadn.io/s/raw/files/2c36035682c874a7940051e79e8fe906.png?auto=format&dpr=1&w=3840,y00ts,98,45 ETH,33%,0.44 ETH,opensea,18/12/2023
21,https://opensea.io/collection/akidcalledbeast,https://i.seadn.io/gcs/files/48e81fed9fa93c77c004f8013c6cf268.png?auto=format&dpr=1&w=3840,a KID called BEAST,95,26 ETH,192%,0.31 ETH,opensea,18/12/2023
24,https://opensea.io/collection/shrapnel-operators-collection,https://i.seadn.io/gae/N-0Ykz_InP31IMCnBV4gXAjPfXbkoOmENXGZjKRdK6mo2dO-hRcAHHPyQ-oBLcQMgWwzmh06GHeJ5U0yib3IDE9ekrvVc_-qlOWK?auto=format&dpr=1&w=3840,Shrapnel Operators Collection,71,18 ETH,274%,0.27 ETH,opensea,18/12/2023
28,https://opensea.io/collection/grails-v,https://i.seadn.io/s/raw/files/ec0021b528f25310359d7db2740ab95d.png?auto=format&dpr=1&w=3840,Grails V,63,28 ETH,294%,0.20 ETH,opensea,18/12/2023
32,https://opensea.io/collection/nakamigos,https://i.seadn.io/gcs/files/1619b033c453fe36c5d9e2ac451379a7.png?auto=format&dpr=1&w=3840,Nakamigos,55,12 ETH,47%,0.17 ETH,opensea,18/12/2023
33,https://opensea.io/collection/kprverse,https://i.seadn.io/gcs/files/845c91b06d1311576e9e7c39bae69244.png?auto=format&dpr=1&w=3840,KPR,55,8 ETH,-18%,0.14 ETH,opensea,18/12/2023
34,https://opensea.io/collection/doodles-official,https://i.seadn.io/s/raw/files/c91c80bd4e7e8d9c01ae4cbd87c54cd7.png?auto=format&dpr=1&w=3840,Doodles Original Collection,54,95 ETH,73%,1.90 ETH,opensea,18/12/2023
35,https://opensea.io/collection/everai,https://i.seadn.io/gcs/files/dd7a5edab7839eb54499af23edad456e.png?auto=format&dpr=1&w=3840,Everai,53,7 ETH,80%,0.12 ETH,opensea,18/12/2023
36,https://opensea.io/collection/genuine-undead,https://i.seadn.io/gcs/files/1eb8d685d4e404c9b1177dfe14c2c9e0.png?auto=format&dpr=1&w=3840,Genuine Undead,53,5 ETH,57%,0.10 ETH,opensea,18/12/2023
37,https://opensea.io/collection/otherdeed-expanded,https://i.seadn.io/gcs/files/9583ab4792a83cd81d5075b59514a34a.png?auto=format&dpr=1&w=3840,Otherdeed Expanded,51,26 ETH,50%,0.29 ETH,opensea,18/12/2023
38,https://opensea.io/collection/quirkiesoriginals,https://i.seadn.io/gcs/files/9fbc41e66c3fa82e0906c206e64a2d88.png?auto=format&dpr=1&w=3840,Quirkies Originals,50,27 ETH,1197%,0.68 ETH,opensea,18/12/2023
39,https://opensea.io/collection/genesis-creepz,https://i.seadn.io/gcs/files/13f3b6e7226f54d739ad8c3ed838802b.png?auto=format&dpr=1&w=3840,Creepz by OVERLORD,48,161 ETH,458%,3.45 ETH,opensea,18/12/2023
40,https://opensea.io/collection/azukielementals,https://i.seadn.io/gcs/files/bbaf43ee4a02d5affb7e8fc186d0bdb5.png?auto=format&dpr=1&w=3840,Azuki Elementals,46,27 ETH,-45%,0.54 ETH,opensea,18/12/2023
41,https://opensea.io/collection/trump-digital-trading-cards,https://i.seadn.io/gcs/files/f980181df268011a4491137fc71afdb5.jpg?auto=format&dpr=1&w=3840,Trump Digital Trading Cards,46,7 ETH,297%,0.16 ETH,opensea,18/12/2023
42,https://opensea.io/collection/pixelmongen1,https://i.seadn.io/gcs/files/9b9979a9e40659c788d66fd2ed2749e3.png?auto=format&dpr=1&w=3840,Pixelmon - Generation 1,44,86 ETH,23%,2.00 ETH,opensea,18/12/2023
48,https://opensea.io/collection/azragames-thehopeful,https://i.seadn.io/gcs/files/32469815c1d8c3cbec6541f35d991adc.gif?auto=format&dpr=1&w=3840,Azra Games - The Hopeful,37,22 ETH,86%,0.65 ETH,opensea,18/12/2023
52,https://opensea.io/collection/mittaria-genesis,https://i.seadn.io/gcs/files/a1eaa1c8aade72050b9f1198cbe5e215.png?auto=format&dpr=1&w=3840,Mittaria Genesis,31,21 ETH,-41%,0.69 ETH,opensea,18/12/2023
56,https://opensea.io/collection/descendants-of-smurfcat,https://i.seadn.io/s/raw/files/a4e96bed6ab7222085c650bc7e901c48.gif?auto=format&dpr=1&w=3840,Descendants of Smurfcat,28,6 ETH,-76%,0.13 ETH,opensea,18/12/2023
57,https://opensea.io/collection/kanpai-pandas,https://i.seadn.io/gcs/files/74096ecd2c3119eca2bf0f59a3921455.gif?auto=format&dpr=1&w=3840,Kanpai Pandas,27,39 ETH,30%,1.80 ETH,opensea,18/12/2023
58,https://opensea.io/collection/boredapeyachtclub,https://i.seadn.io/gae/Ju9CkWtV-1Okvf45wo8UctR-M9He2PjILP0oOvxE89AyiPPGtrR3gysu1Zgy0hjd2xKIgjJJtWIc0ybj4Vd7wv8t3pxDGHoJBzDB?auto=format&dpr=1&w=3840,Bored Ape Yacht Club,25,654 ETH,-29%,26.66 ETH,opensea,18/12/2023
59,https://opensea.io/collection/fusionist-quartan-primes,https://i.seadn.io/gcs/files/364c86030953933a7517bf3d8d48ff78.png?auto=format&dpr=1&w=3840,Fusionist - Quartan Primes,25,32 ETH,213%,1.45 ETH,opensea,18/12/2023
60,https://opensea.io/collection/sappy-seals,https://i.seadn.io/gcs/files/11570389cac190891fea96fe285cbf01.png?auto=format&dpr=1&w=3840,Sappy Seals,25,15 ETH,204%,0.63 ETH,opensea,18/12/2023
61,https://opensea.io/collection/pixels-farm,https://i.seadn.io/gcs/files/39bc09683242af3e70535579f36ddfd9.png?auto=format&dpr=1&w=3840,Pixels - Farm Land,24,39 ETH,-40%,1.63 ETH,opensea,18/12/2023
62,https://opensea.io/collection/meebits,https://i.seadn.io/gcs/files/2d036c8c2bed042a1588622c3173677f.png?auto=format&dpr=1&w=3840,Meebits,24,28 ETH,42%,1.18 ETH,opensea,18/12/2023
63,https://opensea.io/collection/vv-checks-originals,https://i.seadn.io/gcs/files/86ce94827a5e991b18f382577fd00281.png?auto=format&dpr=1&w=3840,Checks - VV Originals,24,19 ETH,121%,0.25 ETH,opensea,18/12/2023
64,https://opensea.io/collection/impostors-genesis-aliens,https://i.seadn.io/s/raw/files/ed928558c4778f80e6096904e0814c2c.png?auto=format&dpr=1&w=3840,Impostors Genesis Aliens,21,15 ETH,139%,0.68 ETH,opensea,18/12/2023
66,https://opensea.io/collection/0n1-force,https://i.seadn.io/gae/7gOej3SUvqALR-qkqL_ApAt97SpUKQOZQe88p8jPjeiDDcqITesbAdsLcWlsIg8oh7SRrTpUPfPlm12lb4xDahgP2h32pQQYCsuOM_s?auto=format&dpr=1&w=3840,0N1 Force,20,17 ETH,61%,0.86 ETH,opensea,18/12/2023
72,https://opensea.io/collection/wassiesbywassies,https://i.seadn.io/gae/ju6vDR0sbEvqT0bAb4QPEzYMzpReEllDZ5MlICtxqJu76G5UrZ0cT-w6X3Mzf9e8KXZXJGNIyXGDRAoL-qlaApiJsj27ZdbOY5VvCA?auto=format&dpr=1&w=3840,Wassies by Wassies,17,6 ETH,30%,0.39 ETH,opensea,18/12/2023
73,https://opensea.io/collection/pudgyrods,https://i.seadn.io/gcs/files/866691c691d0426769120db411b57e86.png?auto=format&dpr=1&w=3840,Pudgy Rods,16,9 ETH,-45%,0.50 ETH,opensea,18/12/2023
74,https://opensea.io/collection/metahero-generative,https://i.seadn.io/s/raw/files/1b41930e56e280f2068ab87b114d3edd.png?auto=format&dpr=1&w=3840,MetaHero: Generative Identities,16,8 ETH,2131%,0.39 ETH,opensea,18/12/2023
