idNFT,urlNFT,imageNFT,nameNFT,salesNFT,volumnNFT,changeNFT,floorPriceNFT,gateway,datetime
1,https://opensea.io/collection/the-beacon-arbi,https://i.seadn.io/gae/DP5IVh0Rp45Mvf5z9lMgKozeARbSUe6GrvR2moXHScbxDUlr-elrn4yDIP7NPyOf9B6F9SyJsJLkpTEN1neNrByaC02LxI_o2ZBc7jM?auto=format&dpr=1&w=3840,The Beacon,"3,720",7 ETH,-24%,< 0.01 ETH,opensea,22/12/2023
2,https://opensea.io/collection/galactic-konquest,https://i.seadn.io/s/raw/files/b79c99c72e1149f1e23cea1631c0bb57.jpg?auto=format&dpr=1&w=3840,Galactic Konquest,526,75 ETH,7512%,0.17 ETH,opensea,22/12/2023
3,https://opensea.io/collection/animalia-tundra-titans,https://i.seadn.io/s/raw/files/1f68182e39e8a4fee60badb81f4aa4dc.jpg?auto=format&dpr=1&w=3840,Animalia Tundra Titans,488,86 ETH,34%,0.18 ETH,opensea,22/12/2023
4,https://opensea.io/collection/azuki,https://i.seadn.io/gae/H8jOCJuQokNqGBpkBN5wk1oZwO7LM8bNnrHCaekV2nKjnCqw6UB5oaH8XyNeBDj6bA_n1mjejzhFQUP3O1NfjFLHr3FOaeHcTOOT?auto=format&dpr=1&w=3840,Azuki,386,"2,244 ETH",92%,6.36 ETH,opensea,22/12/2023
5,https://opensea.io/collection/degenheim-nft,https://i.seadn.io/gcs/files/54b6f02960ef1f586ba644f21e320278.png?auto=format&dpr=1&w=3840,Degenheim,325,18 ETH,353%,0.06 ETH,opensea,22/12/2023
6,https://opensea.io/collection/thewarlords,https://i.seadn.io/s/raw/files/0a2b295953f56df5a3c628e77af984b9.png?auto=format&dpr=1&w=3840,The Warlords of Champions Tactics,315,62 ETH,-36%,0.17 ETH,opensea,22/12/2023
7,https://opensea.io/collection/degods,https://i.seadn.io/gcs/files/c6cb0b1d6f2ab61c0efacf00e62e2230.jpg?auto=format&dpr=1&w=3840,DeGods,284,746 ETH,16%,2.79 ETH,opensea,22/12/2023
8,https://opensea.io/collection/futr-one,https://i.seadn.io/gcs/files/f1f7a39135dced852c73788b54553311.webp?auto=format&dpr=1&w=3840,FUTR One By Mintify,241,10 ETH,106%,0.06 ETH,opensea,22/12/2023
9,https://opensea.io/collection/clonex,https://i.seadn.io/gae/XN0XuD8Uh3jyRWNtPTFeXJg_ht8m5ofDx6aHklOiy4amhFuWUa0JaR6It49AH8tlnYS386Q0TW_-Lmedn0UET_ko1a3CbJGeu5iHMg?auto=format&dpr=1&w=3840,CLONE X - X TAKASHI MURAKAMI,239,291 ETH,336%,1.17 ETH,opensea,22/12/2023
10,https://opensea.io/collection/proof-moonbirds,https://i.seadn.io/gcs/files/4bce6187fea476154b311dafaf327c89.png?auto=format&dpr=1&w=3840,Moonbirds,237,344 ETH,7%,1.39 ETH,opensea,22/12/2023
11,https://opensea.io/collection/the-ant-republic,https://i.seadn.io/s/raw/files/bb551a747fb817502a46705a5f7a1655.jpg?auto=format&dpr=1&w=3840,The Ant Republic,237,5 ETH,24%,0.01 ETH,opensea,22/12/2023
12,https://opensea.io/collection/parallelplanetfall,https://i.seadn.io/s/raw/files/4fce98acde508d20a97a6e3baae442d0.png?auto=format&dpr=1&w=3840,Parallel Planetfall,224,12 ETH,26%,0.66 PRIME,opensea,22/12/2023
13,https://opensea.io/collection/poglin,https://i.seadn.io/s/raw/files/9b975bb19f1cef0837efcff36f62c413.png?auto=format&dpr=1&w=3840,Poglin: Nycra,219,49 ETH,-46%,0.23 ETH,opensea,22/12/2023
14,https://opensea.io/collection/raw-pass,https://i.seadn.io/s/raw/files/e6249eb3ab5375845e4e69b34d76e9b2.png?auto=format&dpr=1&w=3840,Balthazar raW Pass,218,44 ETH,-7%,0.19 ETH,opensea,22/12/2023
15,https://opensea.io/collection/lilpudgys,https://i.seadn.io/gae/s4Td3KYsUlCblO6lQKAGAWdKwsCuumcxYpebM_YL-Pex-BP886JYAWjKBLeB5StNopAAD6kVx3QHqWm9AmudXyCaCZszHbt8SdteEQ?auto=format&dpr=1&w=3840,Lil Pudgys,187,178 ETH,-21%,0.98 ETH,opensea,22/12/2023
16,https://opensea.io/collection/mutant-ape-yacht-club,https://i.seadn.io/gae/lHexKRMpw-aoSyB1WdFBff5yfANLReFxHzt1DOj_sg7mS14yARpuvYcUtsyyx-Nkpk6WTcUPFoG53VnLJezYi8hAs0OxNZwlw6Y-dmI?auto=format&dpr=1&w=3840,Mutant Ape Yacht Club,186,981 ETH,22%,5.31 ETH,opensea,22/12/2023
17,https://opensea.io/collection/kokodinft,https://i.seadn.io/gcs/files/3e51f5f71cc5a91fc57655dade362f36.png?auto=format&dpr=1&w=3840,KOKODI,185,20 ETH,204%,0.11 ETH,opensea,22/12/2023
18,https://opensea.io/collection/nakamigos-cloaks,https://i.seadn.io/gcs/files/777e28922e6c3cabf9e0786fd76c1118.png?auto=format&dpr=1&w=3840,Nakamigos-CLOAKS,183,11 ETH,165%,0.03 ETH,opensea,22/12/2023
19,https://opensea.io/collection/blockgames-dice-5555,https://i.seadn.io/s/raw/files/2977805d19a49a608d5387ac4bdc24e9.png?auto=format&dpr=1&w=3840,BlockGames Dice,143,73 ETH,-43%,0.50 ETH,opensea,22/12/2023
20,https://opensea.io/collection/y00ts,https://i.seadn.io/s/raw/files/2c36035682c874a7940051e79e8fe906.png?auto=format&dpr=1&w=3840,y00ts,141,75 ETH,137%,0.55 ETH,opensea,22/12/2023
