"idNFT","urlNFT","imageNFT","nameNFT","salesNFT","volumnNFT","changeNFT","floorPriceNFT"
"4","https://opensea.io/collection/raw-pass","https://i.seadn.io/s/raw/files/e6249eb3ab5375845e4e69b34d76e9b2.png?auto=format&dpr=1&w=3840","Balthazar raW Pass","2,568","511 ETH","-21%","0.19 ETH"
"6","https://opensea.io/collection/degods","https://i.seadn.io/gcs/files/c6cb0b1d6f2ab61c0efacf00e62e2230.jpg?auto=format&dpr=1&w=3840","DeGods","1,481","3,967 ETH","+9%","2.79 ETH"
"7","https://opensea.io/collection/skyborne-genesisimmortals","https://i.seadn.io/gcs/files/65b163eaee2f95a2c25bfbd9f2c898ca.gif?auto=format&dpr=1&w=3840","Skyborne - Genesis Immortals","1,479","179 ETH","+117%","0.13 ETH"
"5","https://opensea.io/collection/azuki","https://i.seadn.io/gae/H8jOCJuQokNqGBpkBN5wk1oZwO7LM8bNnrHCaekV2nKjnCqw6UB5oaH8XyNeBDj6bA_n1mjejzhFQUP3O1NfjFLHr3FOaeHcTOOT?auto=format&dpr=1&w=3840","Azuki","1,502","8,745 ETH","+127%","6.36 ETH"
"2","https://opensea.io/collection/thewarlords","https://i.seadn.io/s/raw/files/0a2b295953f56df5a3c628e77af984b9.png?auto=format&dpr=1&w=3840","The Warlords of Champions Tactics","7,872","1,889 ETH","+188,912%","0.17 ETH"
"3","https://opensea.io/collection/poglin","https://i.seadn.io/s/raw/files/9b975bb19f1cef0837efcff36f62c413.png?auto=format&dpr=1&w=3840","Poglin: Nycra","2,618","533 ETH","-56%","0.23 ETH"
"1","https://opensea.io/collection/piratenationitems","https://i.seadn.io/gcs/files/06a07158febfe5dded5c2e13e4cac214.gif?auto=format&dpr=1&w=3840","Pirate Nation - Items","67K","9 ETH","-23%","< 0.01 ETH"
"16","https://opensea.io/collection/blueprint-a-penguins-paradise","https://i.seadn.io/s/raw/files/77988c4b7a9eeed93a557da7bc856a44.png?auto=format&dpr=1&w=3840","Blueprint: A Penguin’s Paradise","862","34 ETH","+3,405%","0.03 ETH"
"20","https://opensea.io/collection/parallelalpha","https://i.seadn.io/gae/Nnp8Pdo6EidK7eBduGnAn_JBvFsYGhNGMJ_fHJ_mzGMN_2Khu5snL5zmiUMcSsIqtANh19KqxXDs0iNq_aYbKC5smO3hiCSw9PlL?auto=format&dpr=1&w=3840","Parallel Alpha","653","43 ETH","-11%","0.07 PRIME"
"24","https://opensea.io/collection/bonigo-genesis","https://i.seadn.io/s/raw/files/c128777a95e8a9d2502d583d0108416d.gif?auto=format&dpr=1&w=3840","BONIGO","534","14 ETH","-95%","0.03 ETH"
"26","https://opensea.io/collection/clonex","https://i.seadn.io/gae/XN0XuD8Uh3jyRWNtPTFeXJg_ht8m5ofDx6aHklOiy4amhFuWUa0JaR6It49AH8tlnYS386Q0TW_-Lmedn0UET_ko1a3CbJGeu5iHMg?auto=format&dpr=1&w=3840","CLONE X - X TAKASHI MURAKAMI","529","675 ETH","-59%","1.17 ETH"
"28","https://opensea.io/collection/nakamigos-cloaks","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Nakamigos-CLOAKS","480","26 ETH","+230%","0.03 ETH"
"29","https://opensea.io/collection/genuine-undead","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Genuine Undead","478","58 ETH","+71%","0.13 ETH"
"30","https://opensea.io/collection/commongroundworld","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Common Ground World","474","41 ETH","+107%","< 0.01 ETH"
"27","https://opensea.io/collection/opepen-edition","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Opepen Edition","504","236 ETH","-34%","0.39 ETH"
"25","https://opensea.io/collection/yogapetz","https://i.seadn.io/gcs/files/245b32abea15dd17e8855013538fd136.png?auto=format&dpr=1&w=3840","Yogapetz","533","392 ETH","+25%","0.73 ETH"
"22","https://opensea.io/collection/degenheim-nft","https://i.seadn.io/gcs/files/54b6f02960ef1f586ba644f21e320278.png?auto=format&dpr=1&w=3840","Degenheim","585","28 ETH","+561%","0.06 ETH"
