"idNFT","urlNFT","imageNFT","nameNFT","salesNFT","volumnNFT","changeNFT","floorPriceNFT"
"56","https://opensea.io/collection/chronoforge","https://i.seadn.io/gcs/files/f9fd69f0ef630b0524a97212dfd71fb5.png?auto=format&dpr=1&w=3840","ChronoForge","248","78 ETH","-72%","0.25 ETH"
"60","https://opensea.io/collection/grails-v-mint-pass","https://i.seadn.io/s/raw/files/fc2063405d71767f17b1a126e8b6a6e1.png?auto=format&dpr=1&w=3840","Grails V: Mint Pass","243","74 ETH","+7,395%","—"
"62","https://opensea.io/collection/doodles-official","https://i.seadn.io/s/raw/files/c91c80bd4e7e8d9c01ae4cbd87c54cd7.png?auto=format&dpr=1&w=3840","Doodles Original Collection","226","442 ETH","-10%","1.90 ETH"
"64","https://opensea.io/collection/cool-cats-nft","https://i.seadn.io/gae/LIov33kogXOK4XZd2ESj29sqm_Hww5JSdO7AFn5wjt8xgnJJ0UpNV9yITqxra3s_LMEW1AnnrgOVB_hDpjJRA1uF4skI5Sdi_9rULi8?auto=format&dpr=1&w=3840","Cool Cats","221","226 ETH","-10%","1.05 ETH"
"66","https://opensea.io/collection/skinvial-evox","https://i.seadn.io/gae/4vwbOujO80Yua3KoFxI-DoYvUsS4-_DT1Cn1SsL4digiLP92nQL2-lRyu7sfpNrV-i8gGT_KgdjGOEIojYznPOZfSzEOSj42bqNH8Q?auto=format&dpr=1&w=3840","RTFKT SKIN VIAL: EVO X","212","49 ETH","+534%","0.03 ETH"
"67","https://opensea.io/collection/otherside-vessels","https://i.seadn.io/gcs/files/8646d6116bb3f59822dc98f108d61f18.png?auto=format&dpr=1&w=3840","Otherside Vessels","206","49 ETH","-27%","0.17 ETH"
"65","https://opensea.io/collection/trekkinftofficial","https://i.seadn.io/s/raw/files/2ba801aa5b5ea5cd7ec85f4bc7e351bd.png?auto=format&dpr=1&w=3840","TrekkiNFT","220","14 ETH","+92%","0.06 ETH"
"63","https://opensea.io/collection/gemesis","https://i.seadn.io/gcs/files/7ed181433ee09174f09a0e31b563d313.png?auto=format&dpr=1&w=3840","Gemesis","223","3 ETH","-41%","0.01 ETH"
"61","https://opensea.io/collection/thememes6529","https://i.seadn.io/gcs/files/8573c42207ea4d7dc1bb6ed5c0b01243.jpg?auto=format&dpr=1&w=3840","The Memes by 6529","228","40 ETH","-21%","0.03 ETH"
"64","https://opensea.io/collection/cool-cats-nft","https://i.seadn.io/gae/LIov33kogXOK4XZd2ESj29sqm_Hww5JSdO7AFn5wjt8xgnJJ0UpNV9yITqxra3s_LMEW1AnnrgOVB_hDpjJRA1uF4skI5Sdi_9rULi8?auto=format&dpr=1&w=3840","Cool Cats","221","226 ETH","-10%","1.05 ETH"
"72","https://opensea.io/collection/chronoforge-support-airships","https://i.seadn.io/s/raw/files/f9fd69f0ef630b0524a97212dfd71fb5.png?auto=format&dpr=1&w=3840","ChronoForge Support Airships","194","60 ETH","-39%","0.28 ETH"
"80","https://opensea.io/collection/valhalla-crates","https://i.seadn.io/gcs/files/e06318a0c004df84e82fa760dfa67a61.png?auto=format&dpr=1&w=3840","Valhalla Crates","174","0.67 ETH","+330%","< 0.01 ETH"
"84","https://opensea.io/collection/veefriends-series-2","https://i.seadn.io/gae/LrXPPC-y_I4qu9Y1PytwmYUUn7WVu9bXJDUFwKZYzmGuXzdNz41eINzOGOZHKmjv1aFtn5GPqKPk1RJd-Tjkv9CPIG32EG9ygGtJeOk?auto=format&dpr=1&w=3840","VeeFriends Series 2","164","18 ETH","+9%","0.10 ETH"
"86","https://opensea.io/collection/kprverse","https://i.seadn.io/gcs/files/845c91b06d1311576e9e7c39bae69244.png?auto=format&dpr=1&w=3840","KPR","160","19 ETH","+58%","0.14 ETH"
