"idNFT","urlNFT","imageNFT","nameNFT","salesNFT","volumnNFT","changeNFT","floorPriceNFT"
"4","https://opensea.io/collection/poglin","https://i.seadn.io/s/raw/files/9b975bb19f1cef0837efcff36f62c413.png?auto=format&dpr=1&w=3840","Poglin: Nycra","276","53 ETH","+20%","0.22 ETH"
"8","https://opensea.io/collection/imaginary-rides","https://i.seadn.io/gcs/files/37267b1473ce951a826e15b46430508d.gif?auto=format&dpr=1&w=3840","Imaginary Rides","201","35 ETH","+656%","0.15 ETH"
"10","https://opensea.io/collection/matr1x-kuku","https://i.seadn.io/s/raw/files/9088493e46dedf99d3e0e6610cd668fc.png?auto=format&dpr=1&w=3840","MATR1X KUKU","154","459 ETH","-30%","3.09 ETH"
"11","https://opensea.io/collection/kandyland","https://i.seadn.io/gcs/files/03d5a20b69810eac5fe758fc832e8705.png?auto=format&dpr=1&w=3840","Kandyland","143","7 ETH","+35,594%","0.04 ETH"
"12","https://opensea.io/collection/trademark-by-jack-butcher","https://i.seadn.io/s/raw/files/76978409238f7da640912e64ad4574a5.png?auto=format&dpr=1&w=3840","Trademark by Jack Butcher","142","21 ETH","-27%","0.13 ETH"
"9","https://opensea.io/collection/lilpudgys","https://i.seadn.io/gae/s4Td3KYsUlCblO6lQKAGAWdKwsCuumcxYpebM_YL-Pex-BP886JYAWjKBLeB5StNopAAD6kVx3QHqWm9AmudXyCaCZszHbt8SdteEQ?auto=format&dpr=1&w=3840","Lil Pudgys","185","163 ETH","+36%","0.93 ETH"
"6","https://opensea.io/collection/raw-pass","https://i.seadn.io/s/raw/files/e6249eb3ab5375845e4e69b34d76e9b2.png?auto=format&dpr=1&w=3840","Balthazar raW Pass","221","47 ETH","-65%","0.22 ETH"
"7","https://opensea.io/collection/azuki","https://i.seadn.io/gae/H8jOCJuQokNqGBpkBN5wk1oZwO7LM8bNnrHCaekV2nKjnCqw6UB5oaH8XyNeBDj6bA_n1mjejzhFQUP3O1NfjFLHr3FOaeHcTOOT?auto=format&dpr=1&w=3840","Azuki","206","1,242 ETH","+31%","6.45 ETH"
"5","https://opensea.io/collection/overworld-incarna","https://i.seadn.io/s/raw/files/379cdb1ea0a7ee68498d81c3a46b6790.jpg?auto=format&dpr=1&w=3840","OVERWORLD INCARNA","261","477 ETH","+8%","2.07 ETH"
"2","https://opensea.io/collection/kokodinft","https://i.seadn.io/gcs/files/3e51f5f71cc5a91fc57655dade362f36.png?auto=format&dpr=1&w=3840","KOKODI","469","45 ETH","+4,496%","0.12 ETH"
"3","https://opensea.io/collection/parallelplanetfall","https://i.seadn.io/s/raw/files/4fce98acde508d20a97a6e3baae442d0.png?auto=format&dpr=1&w=3840","Parallel Planetfall","339","23 ETH","-18%","0.80 PRIME"
"1","https://opensea.io/collection/ethv-1","https://raw.seadn.io/files/5f528d080ac3a98117f7b7a1c15fa907.svg","ethv","1,540","28 ETH","+23%","< 0.01 ETH"
"4","https://opensea.io/collection/poglin","https://i.seadn.io/s/raw/files/9b975bb19f1cef0837efcff36f62c413.png?auto=format&dpr=1&w=3840","Poglin: Nycra","276","53 ETH","+20%","0.22 ETH"
"8","https://opensea.io/collection/imaginary-rides","https://i.seadn.io/gcs/files/37267b1473ce951a826e15b46430508d.gif?auto=format&dpr=1&w=3840","Imaginary Rides","201","35 ETH","+656%","0.15 ETH"
"10","https://opensea.io/collection/matr1x-kuku","https://i.seadn.io/s/raw/files/9088493e46dedf99d3e0e6610cd668fc.png?auto=format&dpr=1&w=3840","MATR1X KUKU","154","459 ETH","-30%","3.09 ETH"
"12","https://opensea.io/collection/trademark-by-jack-butcher","https://i.seadn.io/s/raw/files/76978409238f7da640912e64ad4574a5.png?auto=format&dpr=1&w=3840","Trademark by Jack Butcher","142","21 ETH","-27%","0.13 ETH"
"14","https://opensea.io/collection/w-rabbit","https://i.seadn.io/s/raw/files/db9fed8cca881d54c9edb49320b67910.png?auto=format&dpr=1&w=3840","THE WHITE RABBIT","114","10 ETH","+43%","0.02 ETH"
