idNFT,urlNFT,imageNFT,nameNFT,salesNFT,volumnNFT,changeNFT,floorPriceNFT,gateway,datetime
63,https://www.binance.com/vi/nft/collection/bitmates-706629948352376833?isBack=1,,Bitmates,"2,000",6.1 ETH,144.7,0.04 ETH,binance,15/12/2023
64,https://www.binance.com/vi/nft/collection/azuki-elemental-beans-726020668084563969?isBack=1,,Azuki Elemental Beans,"1,518",93.74 ETH,-23.51,0.76 ETH,binance,15/12/2023
65,https://www.binance.com/vi/nft/collection/everai-heroes-duo-640794975471181825?isBack=1,,Everai Heroes: Duo,--,18.96 ETH,388.37,< 0.01 ETH,binance,15/12/2023
66,https://www.binance.com/vi/nft/collection/san-frantokyo-genesis-pass-746145329058648065?isBack=1,,San FranTokyo Genesis Pass,557,85.42 ETH,79.54,0.63 ETH,binance,15/12/2023
67,https://www.binance.com/vi/nft/collection/cool-cats-nft-619803992157577216?isBack=1,,Cool Cats NFT,"5,617",127.23 ETH,-50.59,0.89 ETH,binance,15/12/2023
68,https://www.binance.com/vi/nft/collection/renga-640789951180509185?isBack=1,,RENGA,"2,935",29.55 ETH,0.52,0.21 ETH,binance,15/12/2023
69,https://www.binance.com/vi/nft/collection/ether-avatar-731536572737953793?isBack=1,,Ether Avatar,"1,041",24.1 ETH,9.09,0.19 ETH,binance,15/12/2023
70,https://www.binance.com/vi/nft/collection/checks--vv-edition-667186315421179905?isBack=1,,Checks - VV Edition,"1,217",60.05 ETH,-36.75,0.53 ETH,binance,15/12/2023
71,https://www.binance.com/vi/nft/collection/seizon-685539739877101569?isBack=1,,Seizon,"1,829",2.72 ETH,-54.47,0.02 ETH,binance,15/12/2023
72,https://www.binance.com/vi/nft/collection/moonbirds-mythics-734892440581369857?isBack=1,,Moonbirds: Mythics,"1,999",15.04 ETH,-38.83,0.1 ETH,binance,15/12/2023
73,https://www.binance.com/vi/nft/collection/pixelady-maker-697430585308545025?isBack=1,,Pixelady Maker,"1,830",6.73 ETH,15.3,0.06 ETH,binance,15/12/2023
74,https://www.binance.com/vi/nft/collection/pixelmon-trainers--generation-1-697041778276491265?isBack=1,,Pixelmon Trainers - Generation 1,"1,228",63.84 ETH,-68.98,0.5 ETH,binance,15/12/2023
75,https://www.binance.com/vi/nft/collection/cr7-mystery-box-collection-289640760524506112?isBack=1,,CR7 Mystery Box Collection,"237,430",0.44 BNB,-8.04,< 0.01 BNB,binance,15/12/2023
76,https://www.binance.com/vi/nft/collection/sproto-gremlins-716712639836319745?isBack=1,,Sproto Gremlins,"1,144",63.93 ETH,-10.08,0.69 ETH,binance,15/12/2023
77,https://www.binance.com/vi/nft/collection/the-seekers-680738105300852737?isBack=1,,The Seekers,2,5.01 ETH,10.16,0.04 ETH,binance,15/12/2023
78,https://www.binance.com/vi/nft/collection/lofi-pepe-707347171547164673?isBack=1,,LO-FI PEPE,"1,446",4.05 ETH,188.57,0.04 ETH,binance,15/12/2023
79,https://www.binance.com/vi/nft/collection/asm-aifa-allstars-700344797558829057?isBack=1,,ASM AIFA All-Stars,"3,639",3.07 ETH,-23.96,0.02 ETH,binance,15/12/2023
80,https://www.binance.com/vi/nft/collection/valhalla-663727015325208577?isBack=1,,Valhalla,"2,507",14.68 ETH,24.65,0.12 ETH,binance,15/12/2023
81,https://www.binance.com/vi/nft/collection/kanpai-pandas-668552893376839681?isBack=1,,Kanpai Pandas,"2,145",170.54 ETH,-80.83,1.54 ETH,binance,15/12/2023
82,https://www.binance.com/vi/nft/collection/meebits-620207919082143744?isBack=1,,Meebits,"6,557",127.83 ETH,6.19,1.27 ETH,binance,15/12/2023
83,https://www.binance.com/vi/nft/collection/mongs-nft-703704419233050625?isBack=1,,MONGS NFT,"1,814",9.54 ETH,140.25,0.08 ETH,binance,15/12/2023
84,https://www.binance.com/vi/nft/collection/oh-ottie-675649623394525185?isBack=1,,Oh Ottie!,--,121.87 ETH,45.79,1.59 ETH,binance,15/12/2023
85,https://www.binance.com/vi/nft/collection/isekai-meta-641539645632204801?isBack=1,,Isekai Meta,--,4.21 ETH,70.76,< 0.01 ETH,binance,15/12/2023
