idNFT,urlNFT,imageNFT,nameNFT,salesNFT,volumnNFT,changeNFT,floorPriceNFT,gateway,datetime
1,https://www.binance.com/vi/nft/collection/lil-pudgys-528399448512405505?isBack=1,https://public.nftstatic.com/static/nft/webp/448fce1fabc24a46b4a1cba661fec292_64x64.webp,Lil Pudgys,"7,476",1.7K ETH,-61.08,0.93 ETH,binance,11/12/2023
2,https://www.binance.com/vi/nft/collection/mutant-ape-yacht-club-505303452945186817?isBack=1,https://public.nftstatic.com/static/nft/webp/2c66a6e10df04bbea3eff518e06f8d73_64x64.webp,Mutant Ape Yacht Club,"11,428",6.2K ETH,-4.86,5.28 ETH,binance,11/12/2023
3,https://www.binance.com/vi/nft/collection/degods-694369170047053825?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1680315311520_bbkd4ll4i5ylykbam34twi0omc736x8p_64x64.webp,DeGods,"2,560",2.8K ETH,-36.04,2.77 ETH,binance,11/12/2023
4,https://www.binance.com/vi/nft/collection/skyborne--nexian-gems-734764074398892033?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1689946330913_hi8avbupzoisif73e7zjtr3t1x7r8rib_64x64.webp,Skyborne - Nexian Gems,679,468.33 ETH,298.24,0.73 ETH,binance,11/12/2023
5,https://www.binance.com/vi/nft/collection/clone-x--x-takashi-murakami-533652760429920257?isBack=1,https://public.nftstatic.com/static/nft/webp/b8b7c6ac4743492db019ce26f7347462_64x64.webp,CLONE X - X TAKASHI MURAKAMI,"9,649",1.2K ETH,-11.07,1.26 ETH,binance,11/12/2023
6,https://www.binance.com/vi/nft/collection/azuki-566536999900893185?isBack=1,https://public.nftstatic.com/static/nft/webp/303d4787c96242a1bb000136dd57f405_64x64.webp,Azuki,"4,194",4.7K ETH,8.7,5.75 ETH,binance,11/12/2023
7,https://www.binance.com/vi/nft/collection/milady-maker-640794577033273345?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1667874736142_4iimvwacp4r3v0khr6j8sr2tlzyxs8zr_64x64.webp,Milady Maker,"3,547",1.8K ETH,12.96,2.73 ETH,binance,11/12/2023
8,https://www.binance.com/vi/nft/collection/pudgy-penguins-507850950909366272?isBack=1,https://public.nftstatic.com/static/nft/webp/9e9d1ca1a76847418c3a10ac13c627db_64x64.webp,Pudgy Penguins,"4,409",6.6K ETH,-48.87,9.43 ETH,binance,11/12/2023
9,https://www.binance.com/vi/nft/collection/opepen-edition-668545431091167233?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1674158452400_vx3wp10xif320ent425wm1a378f7hr77_64x64.webp,Opepen Edition,"4,150",310.39 ETH,-17.3,0.4 ETH,binance,11/12/2023
10,https://www.binance.com/vi/nft/collection/pixelmon--generation-1-657544850517258241?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1671538727863_qtij3ornjpwcekfcj5scq96jy0fgctoy_64x64.webp,Pixelmon - Generation 1,"2,604",1.2K ETH,-40.67,1.99 ETH,binance,11/12/2023
11,https://www.binance.com/vi/nft/collection/moonbirds-569066442241241089?isBack=1,https://public.nftstatic.com/static/nft/webp/5966121f53a842f793d02d24cf196e1c_64x64.webp,Moonbirds,"5,785",960.67 ETH,-14.75,2.04 ETH,binance,11/12/2023
12,https://www.binance.com/vi/nft/collection/imaginary-rides-709344088172728321?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1683885731934_3k673uorkq7zu17sw68fuezeqclta5hz_64x64.webp,Imaginary Rides,"1,943",65.42 ETH,137.52,0.14 ETH,binance,11/12/2023
13,https://www.binance.com/vi/nft/collection/azuki-elementals-726319061462085633?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1687932850971_35r93kq25q763r0zvu5o5lg7id729hej_64x64.webp,Azuki Elementals,"4,672",300.2 ETH,-39.25,0.58 ETH,binance,11/12/2023
14,https://www.binance.com/vi/nft/collection/otherdeed-expanded-696173597875834881?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1680745570357_kwuoqkwgcwdqu2fobh7erh298y7lz43m_64x64.webp,Otherdeed Expanded,"12,618",203.31 ETH,0.71,0.29 ETH,binance,11/12/2023
15,https://www.binance.com/vi/nft/collection/nakamigos-690968054768242689?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1679504422444_vjcv41ljfw58vjy9hkcyarbkxjus3u2d_64x64.webp,Nakamigos,"5,589",78.7 ETH,-28.28,0.17 ETH,binance,11/12/2023
16,https://www.binance.com/vi/nft/collection/a-kid-called-beast-667186301852073985?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1673834410745_8lovx1dxjo5q5cj04jt4ibuzkvhnbujw_64x64.webp,a KID called BEAST,"3,377",106.5 ETH,118.67,0.31 ETH,binance,11/12/2023
17,https://www.binance.com/vi/nft/collection/parallel-avatars-729456622577106945?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1689566900605_frdc23351j48m7gts0o4hy7kymy1z59x_64x64.webp,Parallel Avatars,"2,172",359.61 ETH,165.62,0.99 ETH,binance,11/12/2023
18,https://www.binance.com/vi/nft/collection/otherdeed-for-otherside-641881071684722689?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1667801173679_6osf0fmr4zgqsgotq5zt40pzdm8njn3g_64x64.webp,Otherdeed for Otherside,"3,032",344.84 ETH,1.51,0.55 ETH,binance,11/12/2023
19,https://www.binance.com/vi/nft/collection/redacted-remilio-babies-668643429774356481?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1678261197262_an96jigwq039okugxmqdh4gjlqyrz9ch_64x64.webp,Redacted Remilio Babies,"2,559",171.9 ETH,-60.37,0.53 ETH,binance,11/12/2023
20,https://www.binance.com/vi/nft/collection/genuine-undead-640795709716135937?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1667877189894_u7ygmd1rdggcybdliw5v3xjmr4q9c7lk_64x64.webp,Genuine Undead,"2,850",33.6 ETH,53.52,0.1 ETH,binance,11/12/2023
21,https://www.binance.com/vi/nft/collection/beanz-official-641881145226350593?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1667801191325_338ee699dzk7uo3meez6rkttidw9tvfc_64x64.webp,BEANZ Official,"7,661",139.33 ETH,-25.32,0.4 ETH,binance,11/12/2023
22,https://www.binance.com/vi/nft/collection/bored-ape-yacht-club-505570382194139137?isBack=1,https://public.nftstatic.com/static/nft/webp/7c2bdc6c55a84d2aaff2f348522825cc_64x64.webp,Bored Ape Yacht Club,"5,638",8.1K ETH,-50.32,26.48 ETH,binance,11/12/2023
23,https://www.binance.com/vi/nft/collection/rug-radio-faces-of-web3-by-cory-van-lew-675098510508990465?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1675720828270_v300h0xkzfgb4vyiddo426klbtymbbkh_64x64.webp,Rug Radio Faces of Web3 by Cory Van Lew,1,4.87 ETH,-69.19,0.02 ETH,binance,11/12/2023
24,https://www.binance.com/vi/nft/collection/pixelmon-trainers--generation-1-697041778276491265?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1680952570466_zz9s75zqwlj9k5k4z8giykipfr8mpydj_64x64.webp,Pixelmon Trainers - Generation 1,"1,236",118.31 ETH,-42.09,0.44 ETH,binance,11/12/2023
