"idNFT","urlNFT","imageNFT","nameNFT","salesNFT","volumnNFT","changeNFT","floorPriceNFT"
"1","https://www.binance.com/vi/nft/collection/lil-pudgys-528399448512405505?isBack=1","https://public.nftstatic.com/static/nft/webp/448fce1fabc24a46b4a1cba661fec292_64x64.webp","Lil Pudgys","7,471","1.4K ETH","-65.60","0.97 ETH"
"2","https://www.binance.com/vi/nft/collection/mutant-ape-yacht-club-505303452945186817?isBack=1","https://public.nftstatic.com/static/nft/webp/2c66a6e10df04bbea3eff518e06f8d73_64x64.webp","Mutant Ape Yacht Club","11,425","6.7K ETH","+3.67","5.3 ETH"
"3","https://www.binance.com/vi/nft/collection/degods-694369170047053825?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1680315311520_bbkd4ll4i5ylykbam34twi0omc736x8p_64x64.webp","DeGods","2,559","3.1K ETH","-29.75","2.81 ETH"
"4","https://www.binance.com/vi/nft/collection/azuki-566536999900893185?isBack=1","https://public.nftstatic.com/static/nft/webp/303d4787c96242a1bb000136dd57f405_64x64.webp","Azuki","4,190","6K ETH","+48.88","6.03 ETH"
"5","https://www.binance.com/vi/nft/collection/skyborne--nexian-gems-734764074398892033?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1689946330913_hi8avbupzoisif73e7zjtr3t1x7r8rib_64x64.webp","Skyborne - Nexian Gems","651","521.48 ETH","+318.09","0.99 ETH"
"6","https://www.binance.com/vi/nft/collection/milady-maker-640794577033273345?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1667874736142_4iimvwacp4r3v0khr6j8sr2tlzyxs8zr_64x64.webp","Milady Maker","3,547","1.8K ETH","+32.82","2.81 ETH"
"7","https://www.binance.com/vi/nft/collection/opepen-edition-668545431091167233?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1674158452400_vx3wp10xif320ent425wm1a378f7hr77_64x64.webp","Opepen Edition","4,147","311.87 ETH","-4.96","0.4 ETH"
"8","https://www.binance.com/vi/nft/collection/pudgy-penguins-507850950909366272?isBack=1","https://public.nftstatic.com/static/nft/webp/9e9d1ca1a76847418c3a10ac13c627db_64x64.webp","Pudgy Penguins","4,407","5.9K ETH","-53.39","10.83 ETH"
"9","https://www.binance.com/vi/nft/collection/moonbirds-569066442241241089?isBack=1","https://public.nftstatic.com/static/nft/webp/5966121f53a842f793d02d24cf196e1c_64x64.webp","Moonbirds","5,788","1K ETH","+5.51","1.92 ETH"
"10","https://www.binance.com/vi/nft/collection/clone-x--x-takashi-murakami-533652760429920257?isBack=1","https://public.nftstatic.com/static/nft/webp/b8b7c6ac4743492db019ce26f7347462_64x64.webp","CLONE X - X TAKASHI MURAKAMI","9,651","670.5 ETH","-60.61","1.28 ETH"
"11","https://www.binance.com/vi/nft/collection/imaginary-rides-709344088172728321?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1683885731934_3k673uorkq7zu17sw68fuezeqclta5hz_64x64.webp","Imaginary Rides","1,987","63.87 ETH","+106.61","0.12 ETH"
"12","https://www.binance.com/vi/nft/collection/pixelmon--generation-1-657544850517258241?isBack=1","","Pixelmon - Generation 1","2,602","948.87 ETH","-52.30","2.04 ETH"
"13","https://www.binance.com/vi/nft/collection/azuki-elementals-726319061462085633?isBack=1","","Azuki Elementals","4,670","245.68 ETH","-49.73","0.6 ETH"
