idNFT,urlNFT,imageNFT,nameNFT,salesNFT,volumnNFT,changeNFT,floorPriceNFT,gateway,datetime
1,https://www.binance.com/vi/nft/collection/skyborne--nexian-gems-734764074398892033?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1689946330913_hi8avbupzoisif73e7zjtr3t1x7r8rib_64x64.webp,Skyborne - Nexian Gems,680,211 ETH,"1,542.66",0.68 ETH,binance,18/12/2023
2,https://www.binance.com/vi/nft/collection/degods-694369170047053825?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1680315311520_bbkd4ll4i5ylykbam34twi0omc736x8p_64x64.webp,DeGods,"2,560",655.6 ETH,208.71,2.79 ETH,binance,18/12/2023
3,https://www.binance.com/vi/nft/collection/mutant-ape-yacht-club-505303452945186817?isBack=1,https://public.nftstatic.com/static/nft/webp/2c66a6e10df04bbea3eff518e06f8d73_64x64.webp,Mutant Ape Yacht Club,"11,429",1.1K ETH,121.85,5.33 ETH,binance,18/12/2023
4,https://www.binance.com/vi/nft/collection/lil-pudgys-528399448512405505?isBack=1,https://public.nftstatic.com/static/nft/webp/448fce1fabc24a46b4a1cba661fec292_64x64.webp,Lil Pudgys,"7,477",180.89 ETH,0.04,0.94 ETH,binance,18/12/2023
5,https://www.binance.com/vi/nft/collection/moonbirds-569066442241241089?isBack=1,https://public.nftstatic.com/static/nft/webp/5966121f53a842f793d02d24cf196e1c_64x64.webp,Moonbirds,"5,785",292.87 ETH,72.59,2.05 ETH,binance,18/12/2023
6,https://www.binance.com/vi/nft/collection/bitmates-706629948352376833?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1683238570394_9heue7g9w0ak84snwwplkkbz0hp5izqf_64x64.webp,Bitmates,"1,998",4.91 ETH,24.13,0.05 ETH,binance,18/12/2023
7,https://www.binance.com/vi/nft/collection/azuki-566536999900893185?isBack=1,https://public.nftstatic.com/static/nft/webp/303d4787c96242a1bb000136dd57f405_64x64.webp,Azuki,"4,194",687.67 ETH,-47.99,5.8 ETH,binance,18/12/2023
8,https://www.binance.com/vi/nft/collection/a-kid-called-beast-667186301852073985?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1673834410745_8lovx1dxjo5q5cj04jt4ibuzkvhnbujw_64x64.webp,a KID called BEAST,"3,376",22.16 ETH,138.43,0.32 ETH,binance,18/12/2023
9,https://www.binance.com/vi/nft/collection/milady-maker-640794577033273345?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1667874736142_4iimvwacp4r3v0khr6j8sr2tlzyxs8zr_64x64.webp,Milady Maker,"3,547",194.26 ETH,12.42,2.75 ETH,binance,18/12/2023
10,https://www.binance.com/vi/nft/collection/opepen-edition-668545431091167233?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1674158452400_vx3wp10xif320ent425wm1a378f7hr77_64x64.webp,Opepen Edition,"4,151",33.78 ETH,-4.33,0.4 ETH,binance,18/12/2023
11,https://www.binance.com/vi/nft/collection/alts-by-adidas-692844154568654849?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1679951719465_3slit7lh161wl4hnzrc6079axrpu157r_64x64.webp,ALTS by adidas,"8,693",5.77 ETH,84.91,0.11 ETH,binance,18/12/2023
12,https://www.binance.com/vi/nft/collection/first-first-nfts-714058981273964545?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1685009770731_nx2r2gwxjwflyuagia0iteqxoc71cd8i_64x64.webp,First First NFTs,"1,656",8.43 ETH,"11,747.66",0.1 ETH,binance,18/12/2023
13,https://www.binance.com/vi/nft/collection/ether-avatar-731536572737953793?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1689566901298_gsgllydx488c9gvs2tgud6zn7aq456ib_64x64.webp,Ether Avatar,"1,046",13.62 ETH,823.38,0.2 ETH,binance,18/12/2023
14,https://www.binance.com/vi/nft/collection/psychedelics-anonymous-printing-press-703130707093774337?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1682404690880_yf1q20ppn3xoj2ivc90cfmfbfy1z4k53_64x64.webp,Psychedelics Anonymous Printing Press,"3,643",1.39 ETH,0,0.03 ETH,binance,18/12/2023
15,https://www.binance.com/vi/nft/collection/kpr-664790673723109376?isBack=1,https://public.nftstatic.com/static/nft/webp/ff69bc17499540388fb659be5a65b094_64x64.webp,KPR,7,7.94 ETH,-12.16,0.15 ETH,binance,18/12/2023
16,https://www.binance.com/vi/nft/collection/pudgy-penguins-507850950909366272?isBack=1,https://public.nftstatic.com/static/nft/webp/9e9d1ca1a76847418c3a10ac13c627db_64x64.webp,Pudgy Penguins,"4,410",530.96 ETH,-50.45,9.51 ETH,binance,18/12/2023
17,https://www.binance.com/vi/nft/collection/doodles-533647159874920449?isBack=1,https://public.nftstatic.com/static/nft/webp/40d30afcdd6a49939e89bb124e4cf85c_64x64.webp,Doodles,"5,537",98.72 ETH,68.12,1.9 ETH,binance,18/12/2023
19,https://www.binance.com/vi/nft/collection/skyborne--nexian-gems-734764074398892033?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1689946330913_hi8avbupzoisif73e7zjtr3t1x7r8rib_64x64.webp,Skyborne - Nexian Gems,680,211 ETH,"1,542.66",0.68 ETH,binance,18/12/2023
20,https://www.binance.com/vi/nft/collection/degods-694369170047053825?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1680315311520_bbkd4ll4i5ylykbam34twi0omc736x8p_64x64.webp,DeGods,"2,560",655.6 ETH,208.71,2.79 ETH,binance,18/12/2023
21,https://www.binance.com/vi/nft/collection/mutant-ape-yacht-club-505303452945186817?isBack=1,https://public.nftstatic.com/static/nft/webp/2c66a6e10df04bbea3eff518e06f8d73_64x64.webp,Mutant Ape Yacht Club,"11,429",1.1K ETH,121.85,5.33 ETH,binance,18/12/2023
22,https://www.binance.com/vi/nft/collection/lil-pudgys-528399448512405505?isBack=1,https://public.nftstatic.com/static/nft/webp/448fce1fabc24a46b4a1cba661fec292_64x64.webp,Lil Pudgys,"7,477",180.89 ETH,0.04,0.94 ETH,binance,18/12/2023
23,https://www.binance.com/vi/nft/collection/moonbirds-569066442241241089?isBack=1,https://public.nftstatic.com/static/nft/webp/5966121f53a842f793d02d24cf196e1c_64x64.webp,Moonbirds,"5,785",292.87 ETH,72.59,2.05 ETH,binance,18/12/2023
24,https://www.binance.com/vi/nft/collection/bitmates-706629948352376833?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1683238570394_9heue7g9w0ak84snwwplkkbz0hp5izqf_64x64.webp,Bitmates,"1,998",4.91 ETH,24.13,0.05 ETH,binance,18/12/2023
25,https://www.binance.com/vi/nft/collection/azuki-566536999900893185?isBack=1,https://public.nftstatic.com/static/nft/webp/303d4787c96242a1bb000136dd57f405_64x64.webp,Azuki,"4,194",687.67 ETH,-47.99,5.8 ETH,binance,18/12/2023
26,https://www.binance.com/vi/nft/collection/a-kid-called-beast-667186301852073985?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1673834410745_8lovx1dxjo5q5cj04jt4ibuzkvhnbujw_64x64.webp,a KID called BEAST,"3,376",22.16 ETH,138.43,0.32 ETH,binance,18/12/2023
27,https://www.binance.com/vi/nft/collection/milady-maker-640794577033273345?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1667874736142_4iimvwacp4r3v0khr6j8sr2tlzyxs8zr_64x64.webp,Milady Maker,"3,547",194.26 ETH,12.42,2.75 ETH,binance,18/12/2023
28,https://www.binance.com/vi/nft/collection/opepen-edition-668545431091167233?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1674158452400_vx3wp10xif320ent425wm1a378f7hr77_64x64.webp,Opepen Edition,"4,151",33.78 ETH,-4.33,0.4 ETH,binance,18/12/2023
29,https://www.binance.com/vi/nft/collection/alts-by-adidas-692844154568654849?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1679951719465_3slit7lh161wl4hnzrc6079axrpu157r_64x64.webp,ALTS by adidas,"8,693",5.77 ETH,84.91,0.11 ETH,binance,18/12/2023
30,https://www.binance.com/vi/nft/collection/first-first-nfts-714058981273964545?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1685009770731_nx2r2gwxjwflyuagia0iteqxoc71cd8i_64x64.webp,First First NFTs,"1,656",8.43 ETH,"11,747.66",0.1 ETH,binance,18/12/2023
31,https://www.binance.com/vi/nft/collection/ether-avatar-731536572737953793?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1689566901298_gsgllydx488c9gvs2tgud6zn7aq456ib_64x64.webp,Ether Avatar,"1,046",13.62 ETH,823.38,0.2 ETH,binance,18/12/2023
32,https://www.binance.com/vi/nft/collection/psychedelics-anonymous-printing-press-703130707093774337?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1682404690880_yf1q20ppn3xoj2ivc90cfmfbfy1z4k53_64x64.webp,Psychedelics Anonymous Printing Press,"3,643",1.39 ETH,0,0.03 ETH,binance,18/12/2023
33,https://www.binance.com/vi/nft/collection/kpr-664790673723109376?isBack=1,https://public.nftstatic.com/static/nft/webp/ff69bc17499540388fb659be5a65b094_64x64.webp,KPR,7,7.94 ETH,-12.16,0.15 ETH,binance,18/12/2023
34,https://www.binance.com/vi/nft/collection/pudgy-penguins-507850950909366272?isBack=1,https://public.nftstatic.com/static/nft/webp/9e9d1ca1a76847418c3a10ac13c627db_64x64.webp,Pudgy Penguins,"4,410",530.96 ETH,-50.45,9.51 ETH,binance,18/12/2023
35,https://www.binance.com/vi/nft/collection/doodles-533647159874920449?isBack=1,https://public.nftstatic.com/static/nft/webp/40d30afcdd6a49939e89bb124e4cf85c_64x64.webp,Doodles,"5,537",98.72 ETH,68.12,1.9 ETH,binance,18/12/2023
36,https://www.binance.com/vi/nft/collection/nakamigos-690968054768242689?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1679504422444_vjcv41ljfw58vjy9hkcyarbkxjus3u2d_64x64.webp,Nakamigos,"5,589",11.99 ETH,60.88,0.17 ETH,binance,18/12/2023
37,https://www.binance.com/vi/nft/collection/otherdeed-expanded-696173597875834881?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1680745570357_kwuoqkwgcwdqu2fobh7erh298y7lz43m_64x64.webp,Otherdeed Expanded,"12,619",31.24 ETH,25.08,0.29 ETH,binance,18/12/2023
38,https://www.binance.com/vi/nft/collection/beanz-official-641881145226350593?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1667801191325_338ee699dzk7uo3meez6rkttidw9tvfc_64x64.webp,BEANZ Official,"7,660",23.25 ETH,42.09,0.4 ETH,binance,18/12/2023
39,https://www.binance.com/vi/nft/collection/everai-heroes-duo-640794975471181825?isBack=1,https://public.nftstatic.com/static/nft/res/nft-cex/S3/1667542228225_g77pkncsutlryacuizq5be9crn8b23zt.webp,Everai Heroes: Duo,--,6.89 ETH,73.91,< 0.01 ETH,binance,18/12/2023
40,https://www.binance.com/vi/nft/collection/wonderpals-640794455237775361?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1667542104183_2ni46pc4ot0hc7yalijduk8vz685choc_64x64.webp,WonderPals,13,2.02 ETH,258.4,0.04 ETH,binance,18/12/2023
41,https://www.binance.com/vi/nft/collection/genuine-undead-640795709716135937?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1667877189894_u7ygmd1rdggcybdliw5v3xjmr4q9c7lk_64x64.webp,Genuine Undead,"2,849",5.01 ETH,31.22,0.1 ETH,binance,18/12/2023
42,https://www.binance.com/vi/nft/collection/bored-ape-kennel-club-641881108745592833?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1667801182515_w2evj8h6omdvfgozzfyru7oqwpfjr3tm_64x64.webp,Bored Ape Kennel Club,"5,112",65.56 ETH,1.24,1.62 ETH,binance,18/12/2023
43,https://www.binance.com/vi/nft/collection/mongs-nft-703704419233050625?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1682541130434_3kvduwhcfs7vte5z3qqhh967s2yl7m17_64x64.webp,MONGS NFT,"1,800",3.68 ETH,164.64,0.07 ETH,binance,18/12/2023
44,https://www.binance.com/vi/nft/collection/azra-games--the-hopeful-679979349445599233?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1676884510955_uu0ecmurm7osqcakpqosv2hhbxc54xjc_64x64.webp,Azra Games - The Hopeful,1,22.92 ETH,64.43,0.65 ETH,binance,18/12/2023
45,https://www.binance.com/vi/nft/collection/clone-x--x-takashi-murakami-533652760429920257?isBack=1,https://public.nftstatic.com/static/nft/webp/b8b7c6ac4743492db019ce26f7347462_64x64.webp,CLONE X - X TAKASHI MURAKAMI,"9,649",52.02 ETH,-15.6,1.27 ETH,binance,18/12/2023
46,https://www.binance.com/vi/nft/collection/otherdeed-for-otherside-641881071684722689?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1667801173679_6osf0fmr4zgqsgotq5zt40pzdm8njn3g_64x64.webp,Otherdeed for Otherside,"3,032",33.09 ETH,-44.15,0.55 ETH,binance,18/12/2023
47,https://www.binance.com/vi/nft/collection/azuki-elementals-726319061462085633?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1687932850971_35r93kq25q763r0zvu5o5lg7id729hej_64x64.webp,Azuki Elementals,"4,673",21.33 ETH,-56.49,0.59 ETH,binance,18/12/2023
49,https://www.binance.com/vi/nft/collection/skyborne--nexian-gems-734764074398892033?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1689946330913_hi8avbupzoisif73e7zjtr3t1x7r8rib_64x64.webp,Skyborne - Nexian Gems,680,211 ETH,"1,542.66",0.68 ETH,binance,18/12/2023
50,https://www.binance.com/vi/nft/collection/degods-694369170047053825?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1680315311520_bbkd4ll4i5ylykbam34twi0omc736x8p_64x64.webp,DeGods,"2,560",655.6 ETH,208.71,2.79 ETH,binance,18/12/2023
51,https://www.binance.com/vi/nft/collection/mutant-ape-yacht-club-505303452945186817?isBack=1,https://public.nftstatic.com/static/nft/webp/2c66a6e10df04bbea3eff518e06f8d73_64x64.webp,Mutant Ape Yacht Club,"11,429",1.1K ETH,121.85,5.33 ETH,binance,18/12/2023
52,https://www.binance.com/vi/nft/collection/lil-pudgys-528399448512405505?isBack=1,https://public.nftstatic.com/static/nft/webp/448fce1fabc24a46b4a1cba661fec292_64x64.webp,Lil Pudgys,"7,477",180.89 ETH,0.04,0.94 ETH,binance,18/12/2023
53,https://www.binance.com/vi/nft/collection/moonbirds-569066442241241089?isBack=1,https://public.nftstatic.com/static/nft/webp/5966121f53a842f793d02d24cf196e1c_64x64.webp,Moonbirds,"5,785",292.87 ETH,72.59,2.05 ETH,binance,18/12/2023
