"idNFT","urlNFT","imageNFT","nameNFT","salesNFT","volumnNFT","changeNFT","floorPriceNFT"
"25","https://www.binance.com/vi/nft/collection/azuki-elementals-726319061462085633?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1687932850971_35r93kq25q763r0zvu5o5lg7id729hej_64x64.webp","Azuki Elementals","4,673","43.21 ETH","-3.95","0.56 ETH"
"26","https://www.binance.com/vi/nft/collection/degods-694369170047053825?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1680315311520_bbkd4ll4i5ylykbam34twi0omc736x8p_64x64.webp","DeGods","2,545","186.35 ETH","-42.98","3.01 ETH"
"27","https://www.binance.com/vi/nft/collection/allstarz-official-679084715994247169?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1676671213730_hj4aysbrjp5xhhkg7isybutk6lljq3go_64x64.webp","Allstarz Official","397","0.66 ETH","+437.92","< 0.01 ETH"
"28","https://www.binance.com/vi/nft/collection/azuki-elemental-beans-726020668084563969?isBack=1","https://public.nftstatic.com/static/nft/res/0ac510b4d43d490eb847787c7f67b4c2.jpeg","Azuki Elemental Beans","1,529","37.07 ETH","+398.20","0.73 ETH"
"29","https://www.binance.com/vi/nft/collection/milady-maker-640794577033273345?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1667874736142_4iimvwacp4r3v0khr6j8sr2tlzyxs8zr_64x64.webp","Milady Maker","3,537","151.14 ETH","+32.35","2.87 ETH"
"30","https://www.binance.com/vi/nft/collection/alts-by-adidas-692844154568654849?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1679951719465_3slit7lh161wl4hnzrc6079axrpu157r_64x64.webp","ALTS by adidas","8,695","5.32 ETH","+324.75","0.1 ETH"
"31","https://www.binance.com/vi/nft/collection/bored-ape-yacht-club-505570382194139137?isBack=1","https://public.nftstatic.com/static/nft/webp/7c2bdc6c55a84d2aaff2f348522825cc_64x64.webp","Bored Ape Yacht Club","5,639","1.3K ETH","+14.40","27.19 ETH"
"32","https://www.binance.com/vi/nft/collection/gemesis-695709251536801793?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1680634925214_xtb6fk14mq6we8qt87wamdypf3uxs0uy_64x64.webp","Gemesis","45,175","0.94 ETH","+143.53","0.01 ETH"
"33","https://www.binance.com/vi/nft/collection/oh-ottie-675649623394525185?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1675852223820_w5amaa3vrimv452ral6oekwcu3p0uhi9_64x64.webp","Oh Ottie!","--","48.62 ETH","+50.63","1.36 ETH"
"34","https://www.binance.com/vi/nft/collection/otherdeed-for-otherside-641881071684722689?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1667801173679_6osf0fmr4zgqsgotq5zt40pzdm8njn3g_64x64.webp","Otherdeed for Otherside","3,036","49.95 ETH","+9.54","0.59 ETH"
