"idNFT","urlNFT","imageNFT","nameNFT","salesNFT","volumnNFT","changeNFT","floorPriceNFT"
"1","https://www.binance.com/vi/nft/collection/azuki-566536999900893185?isBack=1","https://public.nftstatic.com/static/nft/webp/303d4787c96242a1bb000136dd57f405_64x64.webp","Azuki","4,190","1.6K ETH","+124.28","6.01 ETH"
"2","https://www.binance.com/vi/nft/collection/mutant-ape-yacht-club-505303452945186817?isBack=1","https://public.nftstatic.com/static/nft/webp/2c66a6e10df04bbea3eff518e06f8d73_64x64.webp","Mutant Ape Yacht Club","11,425","1.1K ETH","+1.61","5.29 ETH"
"3","https://www.binance.com/vi/nft/collection/degods-694369170047053825?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1680315311520_bbkd4ll4i5ylykbam34twi0omc736x8p_64x64.webp","DeGods","2,559","558.13 ETH","-15.70","2.8 ETH"
"4","https://www.binance.com/vi/nft/collection/gray-boys-568400688167141377?isBack=1","","Gray Boys","--","10.93 ETH","+990.53","< 0.01 ETH"
"5","https://www.binance.com/vi/nft/collection/lil-pudgys-528399448512405505?isBack=1","https://public.nftstatic.com/static/nft/webp/448fce1fabc24a46b4a1cba661fec292_64x64.webp","Lil Pudgys","7,471","84.73 ETH","-52.09","0.96 ETH"
"6","https://www.binance.com/vi/nft/collection/skyborne--nexian-gems-734764074398892033?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1689946330913_hi8avbupzoisif73e7zjtr3t1x7r8rib_64x64.webp","Skyborne - Nexian Gems","651","59.2 ETH","-72.16","0.99 ETH"
"7","https://www.binance.com/vi/nft/collection/opepen-edition-668545431091167233?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1674158452400_vx3wp10xif320ent425wm1a378f7hr77_64x64.webp","Opepen Edition","4,147","40.91 ETH","+25.17","0.4 ETH"
"8","https://www.binance.com/vi/nft/collection/ens-maxis-717807349905440769?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1685903530538_c3sf4wkkol7jyznk01of075nvqpgoqz6_64x64.webp","ENS Maxis","1,604","1.31 ETH","+14,388.61","0.01 ETH"
"9","https://www.binance.com/vi/nft/collection/moonbirds-569066442241241089?isBack=1","https://public.nftstatic.com/static/nft/webp/5966121f53a842f793d02d24cf196e1c_64x64.webp","Moonbirds","5,788","133.15 ETH","-52.70","1.92 ETH"
"10","https://www.binance.com/vi/nft/collection/pudgy-penguins-507850950909366272?isBack=1","https://public.nftstatic.com/static/nft/webp/9e9d1ca1a76847418c3a10ac13c627db_64x64.webp","Pudgy Penguins","4,407","751.43 ETH","+27.75","10.8 ETH"
